stim,N_x,leak_rate,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,400,0.01,116,721,0.054130800119013556,0.2787676992921163
10-6,600,0.01,116,721,0.047423163573551294,0.2442241048254711
10-6,800,0.01,116,721,0.04723117665140208,0.2432353931776839
10-6,1000,0.01,116,721,0.04919800055770085,0.2533643211459785
10-6,1200,0.01,116,721,0.050179324073041646,0.2584180299038639
10-6,400,0.03,116,721,0.03483000800099932,0.17937073118108426
10-6,600,0.03,116,721,0.03262119291741859,0.16799557512099045
10-6,800,0.03,116,721,0.03284832261853661,0.1691652682362292
10-6,1000,0.03,116,721,0.033447346020101645,0.17225017322764402
10-6,1200,0.03,116,721,0.03311714149283536,0.17054965603300662
10-6,400,0.05,116,721,0.05470479015028074,0.28172368516487567
10-6,600,0.05,116,721,0.050119930132957465,0.2581121576094815
10-6,800,0.05,116,721,0.047658869598249734,0.24543796506899254
10-6,1000,0.05,116,721,0.05790740401401893,0.2982167962320024
10-6,1200,0.05,116,721,0.05607938530160768,0.28880269982844997
10-6,400,0.07,116,721,0.07440820941382464,0.3831941390323548
10-6,600,0.07,116,721,0.07413628693638025,0.3817937680188777
10-6,800,0.07,116,721,0.0742351812285685,0.3823030628056872
10-6,1000,0.07,116,721,0.07361911697364242,0.379130399283547
10-6,1200,0.07,116,721,0.07450749907316997,0.38370546991677434
10-6,400,0.09,116,721,0.07968190666238882,0.4103531029773383
10-6,600,0.09,116,721,0.08296534266719177,0.4272624392298854
10-6,800,0.09,116,721,0.0843075892600283,0.43417486235581465
10-6,1000,0.09,116,721,0.08105123673101941,0.4174050030409692
10-6,1200,0.09,116,721,0.08314743586877697,0.4282001992990334
10-6,400,0.01,116,722,0.05031380564872281,0.2591105953078002
10-6,600,0.01,116,722,0.05070760476999418,0.26113861770500685
10-6,800,0.01,116,722,0.048112060904479816,0.2477718507218775
10-6,1000,0.01,116,722,0.047710780349572025,0.24570529975983071
10-6,1200,0.01,116,722,0.045216161302549025,0.2328582845518544
10-6,400,0.03,116,722,0.034050927801486816,0.17535855337649536
10-6,600,0.03,116,722,0.034078595062465605,0.1755010367440387
10-6,800,0.03,116,722,0.033536833128890296,0.17271102204898914
10-6,1000,0.03,116,722,0.03370860011093482,0.17359560321707876
10-6,1200,0.03,116,722,0.032884419806692634,0.16935116480659296
10-6,400,0.05,116,722,0.05974173881936349,0.3076634198232495
10-6,600,0.05,116,722,0.05373171184695833,0.27671243834694836
10-6,800,0.05,116,722,0.05903525196995232,0.30402508983075954
10-6,1000,0.05,116,722,0.05519956089701964,0.28427170038804245
10-6,1200,0.05,116,722,0.053309154225847,0.274536312821433
