stim,N_x,leak_rate,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,400,0.1,116,721,0.08681807078216269,0.44710356757543235
10-6,600,0.1,116,721,0.08972422815504633,0.462069960143774
10-6,800,0.1,116,721,0.0843339383170739,0.4343105571172992
10-6,1000,0.1,116,721,0.08606820373746493,0.443241834322538
10-6,1200,0.1,116,721,0.08610218416373693,0.4434168298007497
10-6,400,0.3,116,721,0.09238662533041038,0.47578101435960424
10-6,600,0.3,116,721,0.09162520571634852,0.4718597866382102
10-6,800,0.3,116,721,0.09250200318860957,0.47637519770824727
10-6,1000,0.3,116,721,0.09271663228534348,0.477480514078338
10-6,1200,0.3,116,721,0.09342441493967196,0.4811255173244052
10-6,400,0.5,116,721,0.11160514250156302,0.5747542754942835
10-6,600,0.5,116,721,0.11006045434117516,0.5667993004403706
10-6,800,0.5,116,721,0.11274249988310818,0.5806115415947135
10-6,1000,0.5,116,721,0.11300971989994099,0.5819876954504389
10-6,1200,0.5,116,721,0.11326926202534356,0.5833243090051764
10-6,400,0.7,116,721,0.12540879700735497,0.6458415862294383
10-6,600,0.7,116,721,0.12426834361218701,0.6399683759975212
10-6,800,0.7,116,721,0.12602916967625594,0.6490364376122556
10-6,1000,0.7,116,721,0.12624160858451725,0.6501304747512953
10-6,1200,0.7,116,721,0.1264576675773573,0.6512431549299176
10-6,400,0.9,116,721,0.1329234993608657,0.6845414813233115
10-6,600,0.9,116,721,0.13199315418504612,0.6797503054374844
10-6,800,0.9,116,721,0.13304189604660857,0.6851512113035775
10-6,1000,0.9,116,721,0.13335653316950494,0.6867715580686146
10-6,1200,0.9,116,721,0.1333631325208322,0.6868055440060528
10-6,400,0.1,116,722,0.08681807078216269,0.44710356757543235
10-6,600,0.1,116,722,0.08972422815504633,0.462069960143774
10-6,800,0.1,116,722,0.0843339383170739,0.4343105571172992
10-6,1000,0.1,116,722,0.08606820373746493,0.443241834322538
10-6,1200,0.1,116,722,0.08610218416373693,0.4434168298007497
10-6,400,0.3,116,722,0.09238662533041038,0.47578101435960424
10-6,600,0.3,116,722,0.09162520571634852,0.4718597866382102
10-6,800,0.3,116,722,0.09250200318860957,0.47637519770824727
10-6,1000,0.3,116,722,0.09271663228534348,0.477480514078338
10-6,1200,0.3,116,722,0.09342441493967196,0.4811255173244052
10-6,400,0.5,116,722,0.11160514250156302,0.5747542754942835
10-6,600,0.5,116,722,0.11006045434117516,0.5667993004403706
10-6,800,0.5,116,722,0.11274249988310818,0.5806115415947135
10-6,1000,0.5,116,722,0.11300971989994099,0.5819876954504389
10-6,1200,0.5,116,722,0.11326926202534356,0.5833243090051764
10-6,400,0.7,116,722,0.12540879700735497,0.6458415862294383
10-6,600,0.7,116,722,0.12426834361218701,0.6399683759975212
10-6,800,0.7,116,722,0.12602916967625594,0.6490364376122556
10-6,1000,0.7,116,722,0.12624160858451725,0.6501304747512953
10-6,1200,0.7,116,722,0.1264576675773573,0.6512431549299176
10-6,400,0.9,116,722,0.1329234993608657,0.6845414813233115
10-6,600,0.9,116,722,0.13199315418504612,0.6797503054374844
10-6,800,0.9,116,722,0.13304189604660857,0.6851512113035775
10-6,1000,0.9,116,722,0.13335653316950494,0.6867715580686146
10-6,1200,0.9,116,722,0.1333631325208322,0.6868055440060528
10-6,400,0.1,116,723,0.08681807078216269,0.44710356757543235
10-6,600,0.1,116,723,0.08972422815504633,0.462069960143774
10-6,800,0.1,116,723,0.0843339383170739,0.4343105571172992
10-6,1000,0.1,116,723,0.08606820373746493,0.443241834322538
10-6,1200,0.1,116,723,0.08610218416373693,0.4434168298007497
10-6,400,0.3,116,723,0.09238662533041038,0.47578101435960424
10-6,600,0.3,116,723,0.09162520571634852,0.4718597866382102
10-6,800,0.3,116,723,0.09250200318860957,0.47637519770824727
10-6,1000,0.3,116,723,0.09271663228534348,0.477480514078338
10-6,1200,0.3,116,723,0.09342441493967196,0.4811255173244052
10-6,400,0.5,116,723,0.11160514250156302,0.5747542754942835
10-6,600,0.5,116,723,0.11006045434117516,0.5667993004403706
10-6,800,0.5,116,723,0.11274249988310818,0.5806115415947135
10-6,1000,0.5,116,723,0.11300971989994099,0.5819876954504389
10-6,1200,0.5,116,723,0.11326926202534356,0.5833243090051764
10-6,400,0.7,116,723,0.12540879700735497,0.6458415862294383
10-6,600,0.7,116,723,0.12426834361218701,0.6399683759975212
10-6,800,0.7,116,723,0.12602916967625594,0.6490364376122556
10-6,1000,0.7,116,723,0.12624160858451725,0.6501304747512953
10-6,1200,0.7,116,723,0.1264576675773573,0.6512431549299176
10-6,400,0.9,116,723,0.1329234993608657,0.6845414813233115
10-6,600,0.9,116,723,0.13199315418504612,0.6797503054374844
10-6,800,0.9,116,723,0.13304189604660857,0.6851512113035775
10-6,1000,0.9,116,723,0.13335653316950494,0.6867715580686146
10-6,400,0.1,116,724,0.08681807078216269,0.44710356757543235
