stim,leak_rate,N_x,RMSE,NRMSE,csv_seed,reservoir_seed
10-5,0.3,600,0.12136329805246732,0.6627420096841637,116,722
10-5,0.3,800,0.11908820655197493,0.6503181654293723,116,722
10-5,0.3,1000,0.12943689882173334,0.7068304160234326,116,722
10-5,0.3,1200,0.11800811078598336,0.6444199667969065,116,722
10-5,0.5,400,0.1452806391572265,0.7933500844846451,116,722
10-5,0.5,600,0.14248327474339167,0.7780742066600134,116,722
10-5,0.5,800,0.14514081731336476,0.7925865438485079,116,722
10-5,0.5,1000,0.14489014016999638,0.7912176433947149,116,722
10-5,0.5,1200,0.14262251820011293,0.7788345888334025,116,722
10-5,0.7,400,0.15096910240298228,0.8244137060572629,116,722
10-5,0.7,600,0.1454816238461039,0.7944476238458841,116,722
10-5,0.7,800,0.14676426598778075,0.8014518899157878,116,722
10-5,0.7,1000,0.14775589461600813,0.8068669862462092,116,722
10-5,0.7,1200,0.14549765060455722,0.794535142941661,116,722
10-5,0.9,400,0.15672248654071022,0.8558318483384193,116,722
10-5,0.9,600,0.15119718637769383,0.8256592294914707,116,722
10-5,0.9,800,0.14978812648669393,0.8179646200097564,116,722
10-5,0.9,1000,0.15014836888252586,0.81993183557837,116,722
10-5,0.9,1200,0.14939103192177478,0.8157961617178979,116,722
10-5,0.1,400,0.06590617666628619,0.3599011618449179,116,723
10-5,0.1,600,0.08329831490122376,0.454876338290306,116,723
10-5,0.1,800,0.0768366735495399,0.4195905373604243,116,723
10-5,0.1,1000,0.09008745141161595,0.49195052832238856,116,723
10-5,0.1,1200,0.06221478603356647,0.3397431759816767,116,723
10-5,0.3,400,0.14103087457977892,0.7701429241491986,116,723
10-5,0.3,600,0.12713246948791718,0.694246363411347,116,723
10-5,0.3,800,0.1243670357732125,0.6791448530936283,116,723
10-5,0.3,1000,0.12443111613026506,0.6794947837999933,116,723
10-5,0.3,1200,0.11478895807097564,0.6268407828585949,116,723
10-5,0.5,400,0.14621434439002692,0.7984488721112902,116,723
10-5,0.5,600,0.14373815025907466,0.7849268444385916,116,723
10-5,0.5,800,0.14276460167637278,0.7796104798161826,116,723
10-5,0.5,1000,0.1437995163641988,0.7852619531286906,116,723
10-5,0.5,1200,0.1408847074118496,0.7693447328988139,116,723
10-5,0.7,400,0.15111294481809448,0.8251992022723385,116,723
10-5,0.7,600,0.14645850308513803,0.7997821765523894,116,723
10-5,0.7,800,0.14555451810788966,0.7948456856184757,116,723
10-5,0.7,1000,0.1472407903379899,0.804054099237625,116,723
10-5,0.7,1200,0.14530757807314135,0.7934971928078253,116,723
10-5,0.9,400,0.15713185580734698,0.8580673364540808,116,723
10-5,0.9,600,0.1524239687489807,0.8323584559235035,116,723
10-5,0.9,800,0.14993216896431236,0.8187512087283282,116,723
10-5,0.9,1000,0.1513809006473423,0.8266624583607278,116,723
10-5,0.9,1200,0.147304069571476,0.8043996551597599,116,723
10-5,0.1,400,0.06032098698045311,0.32940149764449345,116,724
10-5,0.1,600,0.09205758138366661,0.5027090353666795,116,724
10-5,0.1,800,0.061328370542994295,0.3349026286904931,116,724
10-5,0.1,1000,0.08319379214153544,0.45430555927453115,116,724
10-5,0.1,1200,0.08721130157712804,0.4762444182211516,116,724
10-5,0.3,400,0.134055592090186,0.7320522261420543,116,724
10-5,0.3,600,0.14243584728615893,0.7778152142889668,116,724
10-5,0.3,800,0.11657205415533486,0.6365779332275419,116,724
10-5,0.3,1000,0.1230508834465535,0.6719575942434001,116,724
10-5,0.3,1200,0.10261964665936846,0.5603864755777044,116,724
10-5,0.5,400,0.1459538775201351,0.7970265118130919,116,724
10-5,0.5,600,0.15043180102105722,0.8214796048637609,116,724
10-5,0.5,800,0.14373665125176807,0.7849186586432907,116,724
10-5,0.5,1000,0.1432635704674519,0.7823352539832993,116,724
10-5,0.5,1200,0.1348071971657852,0.7361565992621396,116,724
10-5,0.7,400,0.15032670573040907,0.8209056993647328,116,724
10-5,0.7,600,0.14981449700864252,0.8181086244410226,116,724
10-5,0.7,800,0.1465113466441523,0.8000707452305811,116,724
10-5,0.7,1000,0.14496288108148195,0.7916148677503299,116,724
10-5,0.7,1200,0.14408906120231116,0.7868431027100188,116,724
10-5,0.9,400,0.15637635662421087,0.8539416983494711,116,724
10-5,0.9,600,0.15353788774350607,0.838441356807904,116,724
10-5,0.9,800,0.15015357307391272,0.8199602546829416,116,724
10-5,0.9,1000,0.14962592366141028,0.8170788610683798,116,724
10-5,0.9,1200,0.14862220080685823,0.8115977204561317,116,724
10-5,0.1,400,0.07420638577600683,0.4052270334588957,116,725
10-5,0.1,600,0.09699172851987017,0.5296534793757012,116,725
10-5,0.1,800,0.0767173841166902,0.41893912033625347,116,725
10-5,0.1,1000,0.08550863428112966,0.4669464742489498,116,725
10-5,0.1,1200,0.061308682951621944,0.334795118478746,116,725
10-5,0.3,400,0.14670232334554,0.8011136328655712,116,725
10-5,0.3,600,0.13213898165766144,0.72158597917764,116,725
10-5,0.3,800,0.11993719094717158,0.6549543085903786,116,725
10-5,0.3,1000,0.12453328955297048,0.6800527335309806,116,725
10-5,0.3,1200,0.11797069900642522,0.6442156681467536,116,725
10-5,0.5,400,0.15065132758905475,0.8226783979188973,116,725
10-5,0.5,600,0.14672088395480018,0.8012149888412199,116,725
10-5,0.5,800,0.14241689341350666,0.7777117107763362,116,725
10-5,0.5,1000,0.14503031514004258,0.7919831123861366,116,725
10-5,0.5,1200,0.13986199618884487,0.7637599003988954,116,725
10-5,0.7,400,0.15336973795129266,0.8375231226052432,116,725
10-5,0.7,600,0.14673005748884746,0.8012650837750916,116,725
10-5,0.7,800,0.14586598682181023,0.7965465573377678,116,725
10-5,0.7,1000,0.14600482527778658,0.797304727878712,116,725
10-5,0.7,1200,0.1452618330092213,0.7932473876683638,116,725
