2017/10/1 0:00 UPDATE
DATE,ÉsÅ[ÉNéûãüããóÕ(ñúkW),ó\ëzç≈ëÂìdóÕ(ñúkW),ó\ëzégópó¶(%),é¿ê—ç≈ëÂìdóÕ(ñúkW),é¿ê—ç≈ëÂìdóÕî≠ê∂éûä‘ë—
2017/9/1,1346,1180,88,1231,14:00Å`15:00
2017/9/2,1204,1090,91,1074,14:00Å`15:00
2017/9/3,1209,1040,86,1018,18:00Å`19:00
2017/9/4,1341,1160,87,1091,16:00Å`17:00
2017/9/5,1245,1100,88,1162,16:00Å`17:00
2017/9/6,1343,1230,92,1288,13:00Å`14:00
2017/9/7,1329,1270,96,1246,10:00Å`11:00
2017/9/8,1341,1190,89,1249,13:00Å`14:00
2017/9/9,1126,1040,92,1109,12:00Å`13:00
2017/9/10,1185,1080,91,1102,18:00Å`19:00
2017/9/11,1392,1300,93,1218,13:00Å`14:00
2017/9/12,1370,1190,87,1238,14:00Å`15:00
2017/9/13,1277,1180,92,1193,14:00Å`15:00
2017/9/14,1294,1150,89,1133,11:00Å`12:00
2017/9/15,1235,1060,86,1057,11:00Å`12:00
2017/9/16,1106,960,87,951,18:00Å`19:00
2017/9/17,1006,930,93,924,18:00Å`19:00
2017/9/18,1171,980,84,1038,18:00Å`19:00
2017/9/19,1217,1110,91,1101,16:00Å`17:00
2017/9/20,1215,1110,91,1094,11:00Å`12:00
2017/9/21,1215,1060,87,1074,18:00Å`19:00
2017/9/22,1192,1030,86,1074,16:00Å`17:00
2017/9/23,1077,990,92,980,18:00Å`19:00
2017/9/24,1161,980,84,925,18:00Å`19:00
2017/9/25,1209,1060,88,1071,18:00Å`19:00
2017/9/26,1189,1080,91,1147,16:00Å`17:00
2017/9/27,1194,1100,92,1110,11:00Å`12:00
2017/9/28,1153,1070,93,1097,11:00Å`12:00
2017/9/29,1139,1050,92,1013,18:00Å`19:00
2017/9/30,1053,970,92,956,18:00Å`19:00
