stim,N_x,leak_rate,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,400,0.1,116,721,2.3039029945000298,1.175705573624015
10-6,600,0.1,116,721,2.3052067911222003,1.176370914551657
10-6,800,0.1,116,721,2.3045166270725415,1.176018716684891
10-6,1000,0.1,116,721,2.3048722778496398,1.1762002089620818
10-6,1200,0.1,116,721,2.3048990293096803,1.176213860509368
10-6,400,0.3,116,721,2.3038689010730695,1.1756881753949242
10-6,600,0.3,116,721,2.3043081544662534,1.175912330953484
10-6,800,0.3,116,721,2.304178428031342,1.1758461302093834
10-6,1000,0.3,116,721,2.3036774165701313,1.1755904588687056
10-6,1200,0.3,116,721,2.303519429432401,1.1755098363950884
10-6,400,0.5,116,721,2.303160293935042,1.1753265658290366
10-6,600,0.5,116,721,2.303493331355248,1.175496518275861
10-6,800,0.5,116,721,2.3033380464502704,1.175417274779621
10-6,1000,0.5,116,721,2.302980188466004,1.175234656141739
10-6,1200,0.5,116,721,2.302837841074523,1.175162014792709
10-6,400,0.7,116,721,2.302843312440874,1.175164806887658
10-6,600,0.7,116,721,2.3031028631559294,1.1752972583072956
10-6,800,0.7,116,721,2.302896329254208,1.1751918619169197
10-6,1000,0.7,116,721,2.302711599062962,1.1750975921859532
10-6,1200,0.7,116,721,2.3026021175806286,1.1750417226509533
10-6,400,0.9,116,721,2.3026794623718865,1.1750811924994624
10-6,600,0.9,116,721,2.3028587532678113,1.1751726865016587
10-6,800,0.9,116,721,2.302626418154194,1.1750541234854723
10-6,1000,0.9,116,721,2.302597422336646,1.1750393266192918
10-6,1200,0.9,116,721,2.30247718253558,1.1749779670027531
10-6,400,0.1,116,722,2.3039029945000298,1.175705573624015
10-6,600,0.1,116,722,2.3052067911222003,1.176370914551657
10-6,800,0.1,116,722,2.3045166270725415,1.176018716684891
10-6,1000,0.1,116,722,2.3048722778496398,1.1762002089620818
10-6,1200,0.1,116,722,2.3048990293096803,1.176213860509368
10-6,400,0.3,116,722,2.3038689010730695,1.1756881753949242
10-6,600,0.3,116,722,2.3043081544662534,1.175912330953484
10-6,800,0.3,116,722,2.304178428031342,1.1758461302093834
10-6,1000,0.3,116,722,2.3036774165701313,1.1755904588687056
10-6,1200,0.3,116,722,2.303519429432401,1.1755098363950884
10-6,400,0.5,116,722,2.303160293935042,1.1753265658290366
10-6,600,0.5,116,722,2.303493331355248,1.175496518275861
10-6,800,0.5,116,722,2.3033380464502704,1.175417274779621
10-6,1000,0.5,116,722,2.302980188466004,1.175234656141739
10-6,1200,0.5,116,722,2.302837841074523,1.175162014792709
10-6,400,0.7,116,722,2.302843312440874,1.175164806887658
10-6,600,0.7,116,722,2.3031028631559294,1.1752972583072956
10-6,800,0.7,116,722,2.302896329254208,1.1751918619169197
10-6,1000,0.7,116,722,2.302711599062962,1.1750975921859532
10-6,1200,0.7,116,722,2.3026021175806286,1.1750417226509533
10-6,400,0.9,116,722,2.3026794623718865,1.1750811924994624
10-6,600,0.9,116,722,2.3028587532678113,1.1751726865016587
10-6,800,0.9,116,722,2.302626418154194,1.1750541234854723
10-6,1000,0.9,116,722,2.302597422336646,1.1750393266192918
10-6,1200,0.9,116,722,2.30247718253558,1.1749779670027531
10-6,400,0.1,116,723,2.3039029945000298,1.175705573624015
10-6,600,0.1,116,723,2.3052067911222003,1.176370914551657
10-6,800,0.1,116,723,2.3045166270725415,1.176018716684891
10-6,1000,0.1,116,723,2.3048722778496398,1.1762002089620818
10-6,1200,0.1,116,723,2.3048990293096803,1.176213860509368
10-6,400,0.3,116,723,2.3038689010730695,1.1756881753949242
10-6,600,0.3,116,723,2.3043081544662534,1.175912330953484
10-6,800,0.3,116,723,2.304178428031342,1.1758461302093834
10-6,1000,0.3,116,723,2.3036774165701313,1.1755904588687056
10-6,1200,0.3,116,723,2.303519429432401,1.1755098363950884
10-6,400,0.5,116,723,2.303160293935042,1.1753265658290366
10-6,600,0.5,116,723,2.303493331355248,1.175496518275861
10-6,800,0.5,116,723,2.3033380464502704,1.175417274779621
10-6,1000,0.5,116,723,2.302980188466004,1.175234656141739
10-6,1200,0.5,116,723,2.302837841074523,1.175162014792709
10-6,400,0.7,116,723,2.302843312440874,1.175164806887658
10-6,600,0.7,116,723,2.3031028631559294,1.1752972583072956
10-6,800,0.7,116,723,2.302896329254208,1.1751918619169197
10-6,1000,0.7,116,723,2.302711599062962,1.1750975921859532
10-6,1200,0.7,116,723,2.3026021175806286,1.1750417226509533
10-6,400,0.9,116,723,2.3026794623718865,1.1750811924994624
10-6,600,0.9,116,723,2.3028587532678113,1.1751726865016587
10-6,800,0.9,116,723,2.302626418154194,1.1750541234854723
10-6,1000,0.9,116,723,2.302597422336646,1.1750393266192918
10-6,1200,0.9,116,723,2.30247718253558,1.1749779670027531
10-6,400,0.1,116,724,2.3039029945000298,1.175705573624015
10-6,600,0.1,116,724,2.3052067911222003,1.176370914551657
10-6,800,0.1,116,724,2.3045166270725415,1.176018716684891
10-6,1000,0.1,116,724,2.3048722778496398,1.1762002089620818
10-6,1200,0.1,116,724,2.3048990293096803,1.176213860509368
10-6,400,0.3,116,724,2.3038689010730695,1.1756881753949242
10-6,600,0.3,116,724,2.3043081544662534,1.175912330953484
10-6,800,0.3,116,724,2.304178428031342,1.1758461302093834
10-6,1000,0.3,116,724,2.3036774165701313,1.1755904588687056
10-6,1200,0.3,116,724,2.303519429432401,1.1755098363950884
10-6,400,0.5,116,724,2.303160293935042,1.1753265658290366
10-6,600,0.5,116,724,2.303493331355248,1.175496518275861
10-6,800,0.5,116,724,2.3033380464502704,1.175417274779621
10-6,1000,0.5,116,724,2.302980188466004,1.175234656141739
10-6,1200,0.5,116,724,2.302837841074523,1.175162014792709
10-6,400,0.7,116,724,2.302843312440874,1.175164806887658
10-6,600,0.7,116,724,2.3031028631559294,1.1752972583072956
10-6,800,0.7,116,724,2.302896329254208,1.1751918619169197
10-6,1000,0.7,116,724,2.302711599062962,1.1750975921859532
10-6,1200,0.7,116,724,2.3026021175806286,1.1750417226509533
10-6,400,0.9,116,724,2.3026794623718865,1.1750811924994624
10-6,600,0.9,116,724,2.3028587532678113,1.1751726865016587
10-6,800,0.9,116,724,2.302626418154194,1.1750541234854723
10-6,1000,0.9,116,724,2.302597422336646,1.1750393266192918
10-6,1200,0.9,116,724,2.30247718253558,1.1749779670027531
10-6,400,0.1,116,725,2.3039029945000298,1.175705573624015
10-6,600,0.1,116,725,2.3052067911222003,1.176370914551657
10-6,800,0.1,116,725,2.3045166270725415,1.176018716684891
10-6,1000,0.1,116,725,2.3048722778496398,1.1762002089620818
10-6,1200,0.1,116,725,2.3048990293096803,1.176213860509368
10-6,400,0.3,116,725,2.3038689010730695,1.1756881753949242
10-6,600,0.3,116,725,2.3043081544662534,1.175912330953484
10-6,800,0.3,116,725,2.304178428031342,1.1758461302093834
10-6,1000,0.3,116,725,2.3036774165701313,1.1755904588687056
10-6,1200,0.3,116,725,2.303519429432401,1.1755098363950884
10-6,400,0.5,116,725,2.303160293935042,1.1753265658290366
10-6,600,0.5,116,725,2.303493331355248,1.175496518275861
10-6,800,0.5,116,725,2.3033380464502704,1.175417274779621
10-6,1000,0.5,116,725,2.302980188466004,1.175234656141739
10-6,1200,0.5,116,725,2.302837841074523,1.175162014792709
10-6,400,0.7,116,725,2.302843312440874,1.175164806887658
10-6,600,0.7,116,725,2.3031028631559294,1.1752972583072956
10-6,800,0.7,116,725,2.302896329254208,1.1751918619169197
10-6,1000,0.7,116,725,2.302711599062962,1.1750975921859532
10-6,1200,0.7,116,725,2.3026021175806286,1.1750417226509533
10-6,400,0.9,116,725,2.3026794623718865,1.1750811924994624
10-6,600,0.9,116,725,2.3028587532678113,1.1751726865016587
10-6,800,0.9,116,725,2.302626418154194,1.1750541234854723
10-6,1000,0.9,116,725,2.302597422336646,1.1750393266192918
10-6,1200,0.9,116,725,2.30247718253558,1.1749779670027531
10-6,400,0.1,126,721,2.3039029959601955,1.1757055743691527
10-6,600,0.1,126,721,2.305206794956486,1.176370916508333
10-6,800,0.1,126,721,2.304516629827198,1.1760187180906208
10-6,1000,0.1,126,721,2.3048722757817766,1.1762002079068297
10-6,1200,0.1,126,721,2.30489903177081,1.1762138617653077
10-6,400,0.3,126,721,2.303868902910437,1.175688176332552
10-6,600,0.3,126,721,2.3043081534487606,1.175912330434247
10-6,800,0.3,126,721,2.304178425492389,1.1758461289137294
10-6,1000,0.3,126,721,2.3036774182905626,1.1755904597466595
10-6,1200,0.3,126,721,2.303519429717426,1.1755098365405399
10-6,400,0.5,126,721,2.3031602952184236,1.1753265664839594
10-6,600,0.5,126,721,2.3034933290670514,1.1754965171081706
10-6,800,0.5,126,721,2.3033380429363,1.1754172729864054
10-6,1000,0.5,126,721,2.3029801895786037,1.1752346567095102
10-6,1200,0.5,126,721,2.3028378433454435,1.1751620159515832
10-6,400,0.7,126,721,2.302843314111344,1.175164807740116
10-6,600,0.7,126,721,2.303102863682862,1.1752972585761947
10-6,800,0.7,126,721,2.3028963260162953,1.1751918602645794
10-6,1000,0.7,126,721,2.30271159875787,1.1750975920302615
10-6,1200,0.7,126,721,2.3026021200686677,1.1750417239206254
10-6,400,0.9,126,721,2.302679465231757,1.1750811939588839
10-6,600,0.9,126,721,2.302858754634727,1.1751726871992099
10-6,800,0.9,126,721,2.302626421432843,1.1750541251586009
10-6,1000,0.9,126,721,2.3025974228555453,1.1750393268840913
10-6,1200,0.9,126,721,2.3024771828201285,1.174977967147961
10-6,400,0.1,126,722,2.3039029959601955,1.1757055743691527
10-6,600,0.1,126,722,2.305206794956486,1.176370916508333
10-6,800,0.1,126,722,2.304516629827198,1.1760187180906208
10-6,1000,0.1,126,722,2.3048722757817766,1.1762002079068297
10-6,1200,0.1,126,722,2.30489903177081,1.1762138617653077
10-6,400,0.3,126,722,2.303868902910437,1.175688176332552
10-6,600,0.3,126,722,2.3043081534487606,1.175912330434247
10-6,800,0.3,126,722,2.304178425492389,1.1758461289137294
10-6,1000,0.3,126,722,2.3036774182905626,1.1755904597466595
10-6,1200,0.3,126,722,2.303519429717426,1.1755098365405399
10-6,400,0.5,126,722,2.3031602952184236,1.1753265664839594
10-6,600,0.5,126,722,2.3034933290670514,1.1754965171081706
10-6,800,0.5,126,722,2.3033380429363,1.1754172729864054
10-6,1000,0.5,126,722,2.3029801895786037,1.1752346567095102
10-6,1200,0.5,126,722,2.3028378433454435,1.1751620159515832
10-6,400,0.7,126,722,2.302843314111344,1.175164807740116
10-6,600,0.7,126,722,2.303102863682862,1.1752972585761947
10-6,800,0.7,126,722,2.3028963260162953,1.1751918602645794
10-6,1000,0.7,126,722,2.30271159875787,1.1750975920302615
10-6,1200,0.7,126,722,2.3026021200686677,1.1750417239206254
10-6,400,0.9,126,722,2.302679465231757,1.1750811939588839
10-6,600,0.9,126,722,2.302858754634727,1.1751726871992099
10-6,800,0.9,126,722,2.302626421432843,1.1750541251586009
10-6,1000,0.9,126,722,2.3025974228555453,1.1750393268840913
10-6,1200,0.9,126,722,2.3024771828201285,1.174977967147961
10-6,400,0.1,126,723,2.3039029959601955,1.1757055743691527
10-6,600,0.1,126,723,2.305206794956486,1.176370916508333
10-6,800,0.1,126,723,2.304516629827198,1.1760187180906208
10-6,1000,0.1,126,723,2.3048722757817766,1.1762002079068297
10-6,1200,0.1,126,723,2.30489903177081,1.1762138617653077
10-6,400,0.3,126,723,2.303868902910437,1.175688176332552
10-6,600,0.3,126,723,2.3043081534487606,1.175912330434247
10-6,800,0.3,126,723,2.304178425492389,1.1758461289137294
10-6,1000,0.3,126,723,2.3036774182905626,1.1755904597466595
10-6,1200,0.3,126,723,2.303519429717426,1.1755098365405399
10-6,400,0.5,126,723,2.3031602952184236,1.1753265664839594
10-6,600,0.5,126,723,2.3034933290670514,1.1754965171081706
10-6,800,0.5,126,723,2.3033380429363,1.1754172729864054
10-6,1000,0.5,126,723,2.3029801895786037,1.1752346567095102
10-6,1200,0.5,126,723,2.3028378433454435,1.1751620159515832
10-6,400,0.7,126,723,2.302843314111344,1.175164807740116
10-6,600,0.7,126,723,2.303102863682862,1.1752972585761947
10-6,800,0.7,126,723,2.3028963260162953,1.1751918602645794
10-6,1000,0.7,126,723,2.30271159875787,1.1750975920302615
10-6,1200,0.7,126,723,2.3026021200686677,1.1750417239206254
10-6,400,0.9,126,723,2.302679465231757,1.1750811939588839
10-6,600,0.9,126,723,2.302858754634727,1.1751726871992099
10-6,800,0.9,126,723,2.302626421432843,1.1750541251586009
10-6,1000,0.9,126,723,2.3025974228555453,1.1750393268840913
10-6,1200,0.9,126,723,2.3024771828201285,1.174977967147961
10-6,400,0.1,126,724,2.3039029959601955,1.1757055743691527
10-6,600,0.1,126,724,2.305206794956486,1.176370916508333
10-6,800,0.1,126,724,2.304516629827198,1.1760187180906208
10-6,1000,0.1,126,724,2.3048722757817766,1.1762002079068297
10-6,1200,0.1,126,724,2.30489903177081,1.1762138617653077
10-6,400,0.3,126,724,2.303868902910437,1.175688176332552
10-6,600,0.3,126,724,2.3043081534487606,1.175912330434247
10-6,800,0.3,126,724,2.304178425492389,1.1758461289137294
10-6,1000,0.3,126,724,2.3036774182905626,1.1755904597466595
10-6,1200,0.3,126,724,2.303519429717426,1.1755098365405399
10-6,400,0.5,126,724,2.3031602952184236,1.1753265664839594
10-6,600,0.5,126,724,2.3034933290670514,1.1754965171081706
10-6,800,0.5,126,724,2.3033380429363,1.1754172729864054
10-6,1000,0.5,126,724,2.3029801895786037,1.1752346567095102
10-6,1200,0.5,126,724,2.3028378433454435,1.1751620159515832
10-6,400,0.7,126,724,2.302843314111344,1.175164807740116
10-6,600,0.7,126,724,2.303102863682862,1.1752972585761947
10-6,800,0.7,126,724,2.3028963260162953,1.1751918602645794
10-6,1000,0.7,126,724,2.30271159875787,1.1750975920302615
10-6,1200,0.7,126,724,2.3026021200686677,1.1750417239206254
10-6,400,0.9,126,724,2.302679465231757,1.1750811939588839
10-6,600,0.9,126,724,2.302858754634727,1.1751726871992099
10-6,800,0.9,126,724,2.302626421432843,1.1750541251586009
10-6,1000,0.9,126,724,2.3025974228555453,1.1750393268840913
10-6,1200,0.9,126,724,2.3024771828201285,1.174977967147961
10-6,400,0.1,126,725,2.3039029959601955,1.1757055743691527
10-6,600,0.1,126,725,2.305206794956486,1.176370916508333
10-6,800,0.1,126,725,2.304516629827198,1.1760187180906208
10-6,1000,0.1,126,725,2.3048722757817766,1.1762002079068297
10-6,1200,0.1,126,725,2.30489903177081,1.1762138617653077
10-6,400,0.3,126,725,2.303868902910437,1.175688176332552
10-6,600,0.3,126,725,2.3043081534487606,1.175912330434247
10-6,800,0.3,126,725,2.304178425492389,1.1758461289137294
10-6,1000,0.3,126,725,2.3036774182905626,1.1755904597466595
10-6,1200,0.3,126,725,2.303519429717426,1.1755098365405399
10-6,400,0.5,126,725,2.3031602952184236,1.1753265664839594
10-6,600,0.5,126,725,2.3034933290670514,1.1754965171081706
10-6,800,0.5,126,725,2.3033380429363,1.1754172729864054
10-6,1000,0.5,126,725,2.3029801895786037,1.1752346567095102
