stim,leak_rate1,leak_rate2,RMSE,NRMSE,csv_seed,reservoir_seed
10-6,0.5,0.3,0.09902782625573411,0.4895710172162866,116,723
10-6,0.5,0.5,0.09632458771847692,0.47620682161084543,116,723
10-6,0.5,0.7,0.09606372070036594,0.47491715449157573,116,723
10-6,0.5,0.9,0.09550149996293103,0.4721376632239871,116,723
10-6,0.7,0.1,0.07098291960075276,0.35092338656590655,116,723
10-6,0.7,0.3,0.09935726542238023,0.49119968941908054,116,723
10-6,0.7,0.5,0.09706895281514458,0.47988679310304794,116,723
10-6,0.7,0.7,0.10303018238275682,0.5093577542825755,116,723
10-6,0.7,0.9,0.10477174660140479,0.5179676510995481,116,723
10-6,0.9,0.1,0.0713625610827851,0.3528002475812751,116,723
10-6,0.9,0.3,0.09972342403565329,0.4930098942023267,116,723
10-6,0.9,0.5,0.09856007061167082,0.48725853985379913,116,723
10-6,0.9,0.7,0.10544300044256537,0.5212861771972398,116,723
10-6,0.9,0.9,0.11439663673249748,0.5655509156246663,116,723
10-6,0.1,0.1,0.05671693603296569,0.2803956132021251,116,724
10-6,0.1,0.3,0.07011861165250756,0.3466504449351594,116,724
10-6,0.1,0.5,0.07084097764609791,0.3502216578725332,116,724
10-6,0.1,0.7,0.07094608417348316,0.35074128060357435,116,724
10-6,0.1,0.9,0.07115763571814314,0.3517871432547992,116,724
10-6,0.3,0.1,0.09017822072865472,0.44582058318508155,116,724
10-6,0.3,0.3,0.09572588108900937,0.4732469524035216,116,724
10-6,0.3,0.5,0.10002782120443235,0.4945147644715384,116,724
10-6,0.3,0.7,0.09985483852267177,0.493659577493571,116,724
10-6,0.3,0.9,0.09964989210788712,0.4926463690999843,116,724
10-6,0.5,0.1,0.09240124621574297,0.4568107148497005,116,724
10-6,0.5,0.3,0.091950225970278,0.4545809734860235,116,724
10-6,0.5,0.5,0.09469266114521648,0.46813894834025405,116,724
10-6,0.5,0.7,0.09821471546016514,0.48555118264707936,116,724
10-6,0.5,0.9,0.0992881043506864,0.49085777283360005,116,724
10-6,0.7,0.1,0.09417456159197167,0.4655775821577193,116,724
10-6,0.7,0.3,0.0925519906112607,0.457555960805748,116,724
10-6,0.7,0.5,0.09703777022840378,0.4797326334967298,116,724
10-6,0.7,0.7,0.10210465947244418,0.5047821798224372,116,724
10-6,0.7,0.9,0.10639008582854892,0.525968351625761,116,724
10-6,0.9,0.1,0.09459631885905409,0.46766265402156776,116,724
10-6,0.9,0.3,0.09271444710191018,0.4583591086924366,116,724
10-6,0.9,0.5,0.09817404992668863,0.4853501415120521,116,724
10-6,0.9,0.7,0.1036475832374225,0.5124100434812529,116,724
10-6,0.9,0.9,0.1123428700434064,0.555397560904886,116,724
10-6,0.1,0.1,0.055602619363492464,0.2748866853986787,116,725
10-6,0.1,0.3,0.09159275639089555,0.45281372530721165,116,725
10-6,0.1,0.5,0.09329142402864904,0.46121155119889334,116,725
10-6,0.1,0.7,0.0941893102570267,0.4656504961984146,116,725
10-6,0.1,0.9,0.09447638023870109,0.46706970480123344,116,725
10-6,0.3,0.1,0.057281866778785814,0.2831885021339055,116,725
10-6,0.3,0.3,0.08726508882419108,0.4314187225800589,116,725
10-6,0.3,0.5,0.09071466206077913,0.44847262694464857,116,725
10-6,0.3,0.7,0.09277682774259868,0.4586675043714209,116,725
10-6,0.3,0.9,0.0931623138777245,0.46057326002043364,116,725
10-6,0.5,0.1,0.058270839179208445,0.28807775642111355,116,725
10-6,0.5,0.3,0.0850017965512789,0.4202295210979834,116,725
10-6,0.5,0.5,0.09562037231025315,0.47272534103332414,116,725
10-6,0.5,0.7,0.09687458318086802,0.478925873903196,116,725
10-6,0.5,0.9,0.09849848541114133,0.4869540766497818,116,725
10-6,0.7,0.1,0.058666556268931386,0.2900340915793268,116,725
10-6,0.7,0.3,0.08574102235591029,0.4238840851009468,116,725
10-6,0.7,0.5,0.09802403008717715,0.4846084775958656,116,725
10-6,0.7,0.7,0.10050770299524071,0.49688719074153365,116,725
10-6,0.7,0.9,0.10190704859028084,0.5038052366312995,116,725
10-6,0.9,0.1,0.058841855355050404,0.29090073033282976,116,725
10-6,0.9,0.3,0.08554663785771435,0.42292309241726306,116,725
10-6,0.9,0.5,0.09837348592184716,0.48633610764612795,116,725
10-6,0.9,0.7,0.10399737665029889,0.5141393424412766,116,725
10-6,0.9,0.9,0.10976252965341336,0.5426409457467298,116,725
10-6,0.1,0.1,0.048746878803407785,0.24099346561716034,126,721
10-6,0.1,0.3,0.07461303136404276,0.36886983228484194,126,721
10-6,0.1,0.5,0.07467024954289142,0.36915270592835564,126,721
10-6,0.1,0.7,0.07512146938200248,0.37138343403755697,126,721
10-6,0.1,0.9,0.07546584506723446,0.3730859489861148,126,721
10-6,0.3,0.1,0.06175762982588826,0.3053156551841032,126,721
10-6,0.3,0.3,0.10120720037797111,0.5003453464756511,126,721
10-6,0.3,0.5,0.10442688530414661,0.5162627353957417,126,721
10-6,0.3,0.7,0.1043316171387057,0.5157917512852475,126,721
10-6,0.3,0.9,0.10443679497000116,0.5163117265265796,126,721
10-6,0.5,0.1,0.06341029409165515,0.31348605088297526,126,721
10-6,0.5,0.3,0.09760011749348972,0.48251275028820567,126,721
10-6,0.5,0.5,0.09475171512166722,0.4684308977489687,126,721
10-6,0.5,0.7,0.09684332134954897,0.47877132252973276,126,721
10-6,0.5,0.9,0.0971998669760887,0.48053400289614107,126,721
10-6,0.7,0.1,0.0650031960484699,0.3213609953385843,126,721
10-6,0.7,0.3,0.09761123096082044,0.48256769273934913,126,721
10-6,0.7,0.5,0.09409838853905535,0.46520099993420966,126,721
10-6,0.7,0.7,0.10196602669411876,0.504096810943098,126,721
10-6,0.7,0.9,0.10633597237450725,0.5257008270345228,126,721
10-6,0.9,0.1,0.06588207859397624,0.32570599045850157,126,721
10-6,0.9,0.3,0.09776853219026854,0.4833453541888836,126,721
10-6,0.9,0.5,0.09427904983212411,0.4660941482175101,126,721
10-6,0.9,0.7,0.10275763340008737,0.5080103341913561,126,721
10-6,0.9,0.9,0.11278148752756163,0.5575659858416526,126,721
10-6,0.1,0.1,0.043405286949652705,0.21458585215865852,126,722
10-6,0.1,0.3,0.06053273727204294,0.29926006539444056,126,722
10-6,0.1,0.5,0.06286501990198991,0.3107903394876063,126,722
10-6,0.1,0.7,0.06488181106625564,0.3207608956346491,126,722
10-6,0.1,0.9,0.06604102074526684,0.3264917642518689,126,722
10-6,0.3,0.1,0.0596745616278268,0.2950174404780443,126,722
10-6,0.3,0.3,0.10245277998106095,0.5065032083248425,126,722
10-6,0.3,0.5,0.09813013252168426,0.48513302386487717,126,722
10-6,0.3,0.7,0.09806219325689515,0.48479714761443987,126,722
10-6,0.3,0.9,0.0980797566204622,0.48488397688346835,126,722
10-6,0.5,0.1,0.06053102640954183,0.29925160727992206,126,722
10-6,0.5,0.3,0.09511041177320122,0.4702042122930048,126,722
10-6,0.5,0.5,0.09504104697730698,0.4698612885414802,126,722
10-6,0.5,0.7,0.09438908435502988,0.46663813383594394,126,722
10-6,0.5,0.9,0.09435322956721029,0.46646087593169006,126,722
10-6,0.7,0.1,0.061530223801798775,0.30419141159778945,126,722
10-6,0.7,0.3,0.09475010281400283,0.4684229268671149,126,722
10-6,0.7,0.5,0.09481737800240894,0.46875552007517285,126,722
10-6,0.7,0.7,0.1000149657933563,0.4944512102472845,126,722
10-6,0.7,0.9,0.10269839163522129,0.5077174563994891,126,722
10-6,0.9,0.1,0.062278823007345864,0.3078923155598793,126,722
10-6,0.9,0.3,0.09487849810541293,0.46905768394296043,126,722
10-6,0.9,0.5,0.09507343704816032,0.4700214176742194,126,722
10-6,0.9,0.7,0.10473983750390985,0.5178098997895405,126,722
10-6,0.9,0.9,0.11234469919622171,0.5554066038197747,126,722
10-6,0.1,0.1,0.05138532788323519,0.25403735690230994,126,723
