stim,leak_rate,reservoir_num,RMSE,NRMSE,csv_seed,reservoir_seed
10-6,0.1,5,0.052221856040476,0.25817296157379727,116,724
10-6,0.1,5,0.05597854977658313,0.27674519973447814,116,725
10-6,0.1,5,0.07146815586433325,0.3533222841296868,126,721
10-6,0.1,5,0.05936261303106181,0.2934752376688759,126,722
10-6,0.1,5,0.06391963825922559,0.31600413243296993,126,723
10-6,0.1,5,0.05818505888980483,0.2876536782086727,126,724
10-6,0.1,5,0.06428827205926525,0.31782657397581127,126,725
10-6,0.1,5,0.05928353224502695,0.29308428027512917,136,721
10-6,0.1,5,0.05996996520427482,0.29647784847526226,136,722
10-6,0.1,5,0.0555314518522273,0.2745348494329688,136,723
10-6,0.1,5,0.0934470326201849,0.4619808446321257,136,724
10-6,0.1,5,0.05926001472863246,0.2929680150307127,136,725
10-6,0.1,5,0.1404603042502538,0.6944037512519272,146,721
10-6,0.1,5,0.10984212282546081,0.5430344362602155,146,722
10-6,0.1,5,0.1012303699105676,0.5004598913674312,146,723
10-6,0.1,5,0.08122741453241238,0.40156983609624025,146,724
10-6,0.1,5,0.05369268050822163,0.26544438272931453,146,725
10-6,0.1,5,0.06679913081277614,0.3302396877491893,156,721
10-6,0.1,5,0.07496736086578769,0.3706215566350365,156,722
10-6,0.1,5,0.07052227716411347,0.34864607528073205,156,723
10-6,0.1,5,0.08890414476101599,0.43952184180024173,156,724
10-6,0.1,5,0.09067397140782574,0.4482714616246491,156,725
10-6,0.1,6,0.05090484736222776,0.2516619706465847,116,721
10-6,0.1,6,0.05106758193861843,0.2524664933258374,116,722
10-6,0.1,6,0.05428162252500984,0.2683559779156596,116,723
10-6,0.1,6,0.05217421542954724,0.25793743724457524,116,724
10-6,0.1,6,0.05771891882158138,0.28534918788515407,116,725
10-6,0.1,6,0.0516425366238521,0.25530893833090307,126,721
10-6,0.1,6,0.05143760102903959,0.25429578342879416,126,722
10-6,0.1,6,0.04897036861099223,0.24209834832107865,126,723
10-6,0.1,6,0.04691832935352916,0.2319535336298062,126,724
10-6,0.1,6,0.04990324017684513,0.24671025286038797,126,725
10-6,0.1,6,0.06093723611820872,0.3012598155562667,136,721
10-6,0.1,6,0.05660043148136363,0.27981964123550984,136,722
10-6,0.1,6,0.05564814863298803,0.27511177173676005,136,723
10-6,0.1,6,0.055046674377664605,0.2721382200175932,136,724
10-6,0.1,6,0.05647769122528359,0.279212841366276,136,725
10-6,0.1,6,0.09904537920675593,0.4896577950080631,146,721
10-6,0.1,6,0.09808946094180788,0.48493195283782614,146,722
10-6,0.1,6,0.08309342650104398,0.4107949742433865,146,723
10-6,0.1,6,0.08576870209535742,0.4240209274280965,146,724
10-6,0.1,6,0.06772934389578596,0.3348384493548511,146,725
10-6,0.1,6,0.05020456415195963,0.24819992996011045,156,721
10-6,0.1,6,0.05030977763490171,0.248720081455063,156,722
10-6,0.1,6,0.05232469976364381,0.2586813975161914,156,723
10-6,0.1,6,0.04828678302579732,0.2387188568897106,156,724
10-6,0.1,6,0.05391553397262964,0.26654611949750984,156,725
