[I 2024-11-06 00:53:02,085] Using an existing study with name 'reproduct_sample08' instead of creating a new one.
[I 2024-11-06 00:58:21,512] Trial 10 finished with value: 0.37071371008523957 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.02600543583193463, 'nodeNum_02': 250, 'leaking_rate_02': 0.07625737607607398, 'nodeNum_03': 500, 'leaking_rate_03': 0.05887991548009103, 'nodeNum_04': 550, 'leaking_rate_04': 0.002714925084688517, 'tikhonov_beta': 0.004649409095761726, 'intensity': 0.8892631567027989}. Best is trial 4 with value: 0.24990214266131328.
[I 2024-11-06 01:03:53,387] Trial 30 finished with value: 0.2385072472345057 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.0011799982168923316, 'nodeNum_02': 600, 'leaking_rate_02': 0.006697763174117862, 'nodeNum_03': 350, 'leaking_rate_03': 0.024438806135167843, 'nodeNum_04': 150, 'leaking_rate_04': 0.07270593298432632, 'tikhonov_beta': 2.27195825398802e-07, 'intensity': 1.9711561993524371}. Best is trial 30 with value: 0.2385072472345057.
[I 2024-11-06 01:09:13,414] Trial 50 finished with value: 0.2332319547841528 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.002840729271849807, 'nodeNum_02': 400, 'leaking_rate_02': 0.04639801111697665, 'nodeNum_03': 350, 'leaking_rate_03': 0.03064845175300049, 'nodeNum_04': 250, 'leaking_rate_04': 0.05918397407634695, 'tikhonov_beta': 1.4113749195376795e-07, 'intensity': 1.9107188452315}. Best is trial 50 with value: 0.2332319547841528.
[I 2024-11-06 01:14:43,291] Trial 70 finished with value: 0.26362335700726786 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.02010558417295043, 'nodeNum_02': 450, 'leaking_rate_02': 0.037173247410354736, 'nodeNum_03': 400, 'leaking_rate_03': 0.041111324520499794, 'nodeNum_04': 350, 'leaking_rate_04': 0.0520237612686971, 'tikhonov_beta': 1.7219610233894678e-06, 'intensity': 0.8256961123139098}. Best is trial 51 with value: 0.2319129467406371.
[I 2024-11-06 01:20:12,547] Trial 89 finished with value: 0.23584317287289203 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.011351901139056157, 'nodeNum_02': 450, 'leaking_rate_02': 0.004665535820343754, 'nodeNum_03': 300, 'leaking_rate_03': 0.05504761607378912, 'nodeNum_04': 300, 'leaking_rate_04': 0.07742472741578334, 'tikhonov_beta': 2.8305332057901966e-07, 'intensity': 1.8241654313322682}. Best is trial 51 with value: 0.2319129467406371.
[I 2024-11-06 01:25:44,167] Trial 109 finished with value: 0.2281676624608268 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.010590838208673238, 'nodeNum_02': 350, 'leaking_rate_02': 0.042792314246629444, 'nodeNum_03': 250, 'leaking_rate_03': 0.07642267001637836, 'nodeNum_04': 400, 'leaking_rate_04': 0.07212500736718004, 'tikhonov_beta': 1.03643468175252e-07, 'intensity': 1.9524370584787507}. Best is trial 110 with value: 0.2252776530975354.
[I 2024-11-06 01:31:08,128] Trial 129 finished with value: 0.4661281761587566 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.0017144798780035812, 'nodeNum_02': 300, 'leaking_rate_02': 0.09584624216024618, 'nodeNum_03': 200, 'leaking_rate_03': 0.09276505441936787, 'nodeNum_04': 400, 'leaking_rate_04': 0.06515294728259693, 'tikhonov_beta': 0.01813366051626962, 'intensity': 1.9349112490845284}. Best is trial 110 with value: 0.2252776530975354.
[I 2024-11-06 01:36:40,680] Trial 147 finished with value: 0.2410827349368883 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.0057312352339738285, 'nodeNum_02': 300, 'leaking_rate_02': 0.08259358395295248, 'nodeNum_03': 200, 'leaking_rate_03': 0.08552731929315441, 'nodeNum_04': 450, 'leaking_rate_04': 0.0875557476236454, 'tikhonov_beta': 1.4293222237011789e-07, 'intensity': 1.4353259958061488}. Best is trial 110 with value: 0.2252776530975354.
[I 2024-11-06 01:42:07,113] Trial 168 finished with value: 0.2768512151794167 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.006539011786136888, 'nodeNum_02': 200, 'leaking_rate_02': 0.07298268042243174, 'nodeNum_03': 150, 'leaking_rate_03': 0.08397145573396296, 'nodeNum_04': 500, 'leaking_rate_04': 0.058376074860553455, 'tikhonov_beta': 0.00015762747460617326, 'intensity': 1.8829109834130655}. Best is trial 110 with value: 0.2252776530975354.
[I 2024-11-06 01:47:33,995] Trial 187 finished with value: 0.24752610153358517 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.00521099639739727, 'nodeNum_02': 200, 'leaking_rate_02': 0.06217855757648015, 'nodeNum_03': 200, 'leaking_rate_03': 0.06443771745855661, 'nodeNum_04': 450, 'leaking_rate_04': 0.0025079244379698435, 'tikhonov_beta': 2.3163112924911274e-07, 'intensity': 1.8574612996660793}. Best is trial 185 with value: 0.22233802142868725.
[I 2024-11-06 01:53:01,924] Trial 207 finished with value: 0.26797694007253836 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.0055843555331505845, 'nodeNum_02': 150, 'leaking_rate_02': 0.047712861453394755, 'nodeNum_03': 200, 'leaking_rate_03': 0.00231978570805877, 'nodeNum_04': 550, 'leaking_rate_04': 0.02596811833497134, 'tikhonov_beta': 1.0005373627682968e-07, 'intensity': 1.7564985795371133}. Best is trial 189 with value: 0.22196394849377712.
[I 2024-11-06 01:58:27,138] Trial 227 finished with value: 0.23324707867172034 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.004492618797153765, 'nodeNum_02': 150, 'leaking_rate_02': 0.05281401562540463, 'nodeNum_03': 200, 'leaking_rate_03': 0.07631038147448196, 'nodeNum_04': 550, 'leaking_rate_04': 0.08191028952233463, 'tikhonov_beta': 1.2630219086706524e-07, 'intensity': 1.9179522934279052}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:03:56,548] Trial 247 finished with value: 0.2286839595550882 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.00784303403460983, 'nodeNum_02': 150, 'leaking_rate_02': 0.041282148662543844, 'nodeNum_03': 200, 'leaking_rate_03': 0.05712487690841153, 'nodeNum_04': 600, 'leaking_rate_04': 0.08036367363864612, 'tikhonov_beta': 2.387778743632548e-07, 'intensity': 1.916767360341238}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:09:24,961] Trial 267 finished with value: 0.225695430414354 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.0036462117141152807, 'nodeNum_02': 150, 'leaking_rate_02': 0.03128262476207938, 'nodeNum_03': 200, 'leaking_rate_03': 0.06269317784157666, 'nodeNum_04': 600, 'leaking_rate_04': 0.09155026894055548, 'tikhonov_beta': 1.867885694502732e-07, 'intensity': 1.8046112784076143}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:15:04,019] Trial 286 finished with value: 0.22677430846480776 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.002923483548162311, 'nodeNum_02': 150, 'leaking_rate_02': 0.02364402838123121, 'nodeNum_03': 200, 'leaking_rate_03': 0.05344244535542181, 'nodeNum_04': 600, 'leaking_rate_04': 0.09031970453741943, 'tikhonov_beta': 1.7676063858601462e-07, 'intensity': 1.7471468585625012}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:20:40,541] Trial 307 finished with value: 0.22874344487406703 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.009293913870569128, 'nodeNum_02': 200, 'leaking_rate_02': 0.05736734478898187, 'nodeNum_03': 200, 'leaking_rate_03': 0.07044371411840714, 'nodeNum_04': 600, 'leaking_rate_04': 0.07344948252464897, 'tikhonov_beta': 3.548975274578724e-07, 'intensity': 1.8737924426765782}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:26:18,595] Trial 326 finished with value: 0.23383394584268474 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.010312898933441814, 'nodeNum_02': 200, 'leaking_rate_02': 0.019760392022134008, 'nodeNum_03': 250, 'leaking_rate_03': 0.06334665542769986, 'nodeNum_04': 600, 'leaking_rate_04': 0.09904977550472381, 'tikhonov_beta': 7.042877256469531e-07, 'intensity': 1.6774787910264277}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:31:48,445] Trial 345 finished with value: 0.23345285749998887 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.0034566999467507647, 'nodeNum_02': 150, 'leaking_rate_02': 0.04696625879365472, 'nodeNum_03': 200, 'leaking_rate_03': 0.07988388895448828, 'nodeNum_04': 550, 'leaking_rate_04': 0.08622032686305293, 'tikhonov_beta': 2.1252588517252223e-07, 'intensity': 1.7883279633605138}. Best is trial 223 with value: 0.2204076541705011.
