[I 2024-11-06 00:54:34,400] Using an existing study with name 'reproduct_sample08' instead of creating a new one.
[I 2024-11-06 02:12:10,483] Trial 277 finished with value: 0.22700605723463674 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.00822002720725653, 'nodeNum_02': 150, 'leaking_rate_02': 0.037335270982919146, 'nodeNum_03': 250, 'leaking_rate_03': 0.0702365170230348, 'nodeNum_04': 600, 'leaking_rate_04': 0.09021054699002784, 'tikhonov_beta': 1.8294241539801133e-07, 'intensity': 1.8758214017680328}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:17:45,167] Trial 297 finished with value: 0.22815181919899616 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.002853661436607336, 'nodeNum_02': 200, 'leaking_rate_02': 0.027793465570842984, 'nodeNum_03': 200, 'leaking_rate_03': 0.05532409822472282, 'nodeNum_04': 600, 'leaking_rate_04': 0.07436651116317815, 'tikhonov_beta': 3.1630612499373103e-07, 'intensity': 1.748475819372276}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:23:26,080] Trial 317 finished with value: 0.2286090121289388 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.009922513257147011, 'nodeNum_02': 200, 'leaking_rate_02': 0.017997122516905002, 'nodeNum_03': 250, 'leaking_rate_03': 0.04271212234387328, 'nodeNum_04': 600, 'leaking_rate_04': 0.09932420976409134, 'tikhonov_beta': 2.8631532564386815e-07, 'intensity': 1.8557466110981224}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:29:04,445] Trial 337 finished with value: 0.23063070857939214 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.003307981422630115, 'nodeNum_02': 150, 'leaking_rate_02': 0.03421723363971302, 'nodeNum_03': 250, 'leaking_rate_03': 0.06257833137782481, 'nodeNum_04': 550, 'leaking_rate_04': 0.09896632874967176, 'tikhonov_beta': 1.0500996525803717e-07, 'intensity': 1.9419086455252996}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:34:30,749] Trial 357 finished with value: 0.23237449229298437 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.004826603368451312, 'nodeNum_02': 150, 'leaking_rate_02': 0.04738630857546717, 'nodeNum_03': 200, 'leaking_rate_03': 0.07797613134113603, 'nodeNum_04': 550, 'leaking_rate_04': 0.08520257889276048, 'tikhonov_beta': 1.4607205657776867e-07, 'intensity': 1.996313778068026}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:40:07,096] Trial 377 finished with value: 0.22706287680876297 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.004786536800329774, 'nodeNum_02': 200, 'leaking_rate_02': 0.05820580276369944, 'nodeNum_03': 200, 'leaking_rate_03': 0.05781082618570205, 'nodeNum_04': 600, 'leaking_rate_04': 0.07898098428022751, 'tikhonov_beta': 1.5395922571154127e-07, 'intensity': 1.8287420243092403}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:45:45,100] Trial 397 finished with value: 0.2263904671236844 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.007995337269174252, 'nodeNum_02': 200, 'leaking_rate_02': 0.06218545384948816, 'nodeNum_03': 200, 'leaking_rate_03': 0.0891604452657768, 'nodeNum_04': 600, 'leaking_rate_04': 0.09076858948229857, 'tikhonov_beta': 2.2664519623882523e-07, 'intensity': 1.9037508073561573}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:51:20,558] Trial 418 finished with value: 0.2410882060597285 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.006694874104821938, 'nodeNum_02': 200, 'leaking_rate_02': 0.08592829689051262, 'nodeNum_03': 150, 'leaking_rate_03': 0.09012998927322892, 'nodeNum_04': 600, 'leaking_rate_04': 0.009383351550937925, 'tikhonov_beta': 3.2936480046135553e-07, 'intensity': 0.18181216636318576}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:57:00,517] Trial 437 finished with value: 0.22860267384593863 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.014533303493756524, 'nodeNum_02': 400, 'leaking_rate_02': 0.08364377407572632, 'nodeNum_03': 150, 'leaking_rate_03': 0.0989012610769749, 'nodeNum_04': 600, 'leaking_rate_04': 0.08087643151976795, 'tikhonov_beta': 5.243596883979791e-07, 'intensity': 1.9260174506959724}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 03:02:35,940] Trial 455 finished with value: 0.23093377459769418 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.0060704378858781, 'nodeNum_02': 250, 'leaking_rate_02': 0.053309622534490925, 'nodeNum_03': 150, 'leaking_rate_03': 0.07519808787261303, 'nodeNum_04': 600, 'leaking_rate_04': 0.07702622361516011, 'tikhonov_beta': 1.9069239857403527e-07, 'intensity': 1.8466590009579111}. Best is trial 223 with value: 0.2204076541705011.
