[I 2024-11-06 00:51:51,587] Using an existing study with name 'reproduct_sample08' instead of creating a new one.
[I 2024-11-06 00:55:37,673] Trial 3 finished with value: 0.3464853698848085 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.00547720902742864, 'nodeNum_02': 150, 'leaking_rate_02': 0.0312281381873097, 'nodeNum_03': 150, 'leaking_rate_03': 0.08040295339983108, 'nodeNum_04': 400, 'leaking_rate_04': 0.012990943961644748, 'tikhonov_beta': 0.0025100690480580287, 'intensity': 0.11504041283375499}. Best is trial 0 with value: 0.2936676791301191.
[I 2024-11-06 01:01:22,167] Trial 23 finished with value: 0.43044056115735524 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.0012802795945217795, 'nodeNum_02': 350, 'leaking_rate_02': 0.002249627294860966, 'nodeNum_03': 250, 'leaking_rate_03': 0.005989065881391199, 'nodeNum_04': 600, 'leaking_rate_04': 0.019505517202306623, 'tikhonov_beta': 0.0018230848722168482, 'intensity': 1.6396598385287462}. Best is trial 4 with value: 0.24990214266131328.
[I 2024-11-06 01:06:58,819] Trial 42 finished with value: 0.23712639202804414 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.019105271887057823, 'nodeNum_02': 400, 'leaking_rate_02': 0.05280531626070571, 'nodeNum_03': 350, 'leaking_rate_03': 0.029753350995504572, 'nodeNum_04': 250, 'leaking_rate_04': 0.0855249363304495, 'tikhonov_beta': 1.2240779068734378e-07, 'intensity': 0.6800734162688221}. Best is trial 36 with value: 0.23640988592594397.
[I 2024-11-06 01:12:37,952] Trial 63 finished with value: 0.2657990335022144 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.0028694676881189174, 'nodeNum_02': 550, 'leaking_rate_02': 0.01540938713310742, 'nodeNum_03': 400, 'leaking_rate_03': 0.010716655193498665, 'nodeNum_04': 250, 'leaking_rate_04': 0.054242678672505096, 'tikhonov_beta': 1.415775714968129e-06, 'intensity': 0.33923354166955605}. Best is trial 51 with value: 0.2319129467406371.
[I 2024-11-06 01:18:12,185] Trial 82 finished with value: 0.24050425662782887 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.004150388498333245, 'nodeNum_02': 450, 'leaking_rate_02': 0.004298423605608095, 'nodeNum_03': 300, 'leaking_rate_03': 0.056073020482606026, 'nodeNum_04': 350, 'leaking_rate_04': 0.04490918455974071, 'tikhonov_beta': 3.4479946086983716e-07, 'intensity': 1.8352788079041142}. Best is trial 51 with value: 0.2319129467406371.
[I 2024-11-06 01:23:37,944] Trial 102 finished with value: 0.2361731457376375 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.011603411350400735, 'nodeNum_02': 350, 'leaking_rate_02': 0.005507473935902586, 'nodeNum_03': 250, 'leaking_rate_03': 0.03415721453392365, 'nodeNum_04': 300, 'leaking_rate_04': 0.07732241703123469, 'tikhonov_beta': 3.0986678704641005e-07, 'intensity': 1.673697660976335}. Best is trial 51 with value: 0.2319129467406371.
[I 2024-11-06 01:29:05,190] Trial 122 finished with value: 0.24245083997872074 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.010836996716064893, 'nodeNum_02': 300, 'leaking_rate_02': 0.003152250189777627, 'nodeNum_03': 250, 'leaking_rate_03': 0.030453620859984352, 'nodeNum_04': 400, 'leaking_rate_04': 0.0647228074030115, 'tikhonov_beta': 5.427833153860262e-07, 'intensity': 1.676248518342571}. Best is trial 110 with value: 0.2252776530975354.
[I 2024-11-06 01:34:29,987] Trial 142 finished with value: 0.22884180987214708 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.007169313936339146, 'nodeNum_02': 250, 'leaking_rate_02': 0.08888521434758202, 'nodeNum_03': 200, 'leaking_rate_03': 0.09614794865408847, 'nodeNum_04': 450, 'leaking_rate_04': 0.08735790966772082, 'tikhonov_beta': 1.4149514601447715e-07, 'intensity': 1.9315365246090386}. Best is trial 110 with value: 0.2252776530975354.
[I 2024-11-06 01:39:57,648] Trial 162 finished with value: 0.2405497750213607 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.007191279036767878, 'nodeNum_02': 250, 'leaking_rate_02': 0.07641329033233372, 'nodeNum_03': 150, 'leaking_rate_03': 0.0839015004132178, 'nodeNum_04': 500, 'leaking_rate_04': 0.05834506907462093, 'tikhonov_beta': 1.7954962420703868e-07, 'intensity': 1.4110775728553473}. Best is trial 110 with value: 0.2252776530975354.
[I 2024-11-06 01:45:28,165] Trial 182 finished with value: 0.23277431530800996 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.005004025277165765, 'nodeNum_02': 200, 'leaking_rate_02': 0.06295043468121234, 'nodeNum_03': 150, 'leaking_rate_03': 0.06565545029026233, 'nodeNum_04': 500, 'leaking_rate_04': 0.0564023635493609, 'tikhonov_beta': 1.976888192750825e-07, 'intensity': 1.8443316591398882}. Best is trial 110 with value: 0.2252776530975354.
[I 2024-11-06 01:50:55,226] Trial 202 finished with value: 0.2370218123239349 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.04454040312514321, 'nodeNum_02': 150, 'leaking_rate_02': 0.060588054503269415, 'nodeNum_03': 200, 'leaking_rate_03': 0.09199925697353362, 'nodeNum_04': 550, 'leaking_rate_04': 0.0802250849763101, 'tikhonov_beta': 1.004228927961499e-07, 'intensity': 1.9579825238225315}. Best is trial 189 with value: 0.22196394849377712.
