stim,leak_rate,tikhonov_beta,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,0.5,0.0001,116,722,0.11321519968667514,0.6087287400232756
10-6,0.5,1e-05,116,722,0.108626253266824,0.5840551663342202
10-6,0.5,1e-06,116,722,0.10383089585209446,0.5582717743063992
10-6,0.5,1e-07,116,722,0.11550527242482189,0.6210418666733344
10-6,0.7,0.001,116,722,0.13177963045552754,0.7085448652648308
10-6,0.7,0.0001,116,722,0.12911574748354784,0.6942218580220718
10-6,0.7,1e-05,116,722,0.12619451044385827,0.6785151247618658
10-6,0.7,1e-06,116,722,0.12297307921461145,0.6611943252695884
10-6,0.7,1e-07,116,722,0.11979349247646258,0.6440985127438443
10-6,0.9,0.001,116,722,0.1390622528835508,0.7477016356184993
10-6,0.9,0.0001,116,722,0.13736578912107766,0.7385801903400968
10-6,0.9,1e-05,116,722,0.1353091621580409,0.7275222410243513
10-6,0.9,1e-06,116,722,0.13349766935007354,0.717782314427861
10-6,0.9,1e-07,116,722,0.13147703430847152,0.7069178843307948
10-6,0.1,0.001,116,723,0.07685250772691499,0.4132159844765089
10-6,0.1,0.0001,116,723,0.07564594840288065,0.4067286281929409
10-6,0.1,1e-05,116,723,0.07092100776062757,0.3813238488717594
10-6,0.1,1e-06,116,723,0.06315002348916701,0.33954128365614883
10-6,0.1,1e-07,116,723,0.05291054644457946,0.28448627357712114
10-6,0.3,0.001,116,723,0.09222754372911757,0.4958835619690637
10-6,0.3,0.0001,116,723,0.08728612372702836,0.4693148293243109
10-6,0.3,1e-05,116,723,0.08392013657944931,0.4512167901833572
10-6,0.3,1e-06,116,723,0.0818985337159338,0.4403471563590918
10-6,0.3,1e-07,116,723,0.0826695706454522,0.44449282178136806
10-6,0.5,0.001,116,723,0.11860477260945214,0.6377070745898819
10-6,0.5,0.0001,116,723,0.11363003952800911,0.6109592261649381
10-6,0.5,1e-05,116,723,0.10874819717684196,0.5847108270838738
10-6,0.5,1e-06,116,723,0.10393734581735149,0.5588441281370311
10-6,0.5,1e-07,116,723,0.12366212008275496,0.6648991191545999
10-6,0.7,0.001,116,723,0.13248822895594928,0.712354815461782
10-6,0.7,0.0001,116,723,0.1293460625086611,0.6954602021263407
10-6,0.7,1e-05,116,723,0.12606758604634763,0.6778326852238119
10-6,0.7,1e-06,116,723,0.12282564758592206,0.660401623672806
10-6,0.7,1e-07,116,723,0.12081770435104701,0.649605434125939
10-6,0.9,0.001,116,723,0.13941556053575271,0.7496012791518822
10-6,0.9,0.0001,116,723,0.1373747506630704,0.7386283742251316
10-6,0.9,1e-05,116,723,0.13506661208575088,0.7262181122474178
10-6,0.9,1e-06,116,723,0.1330572966407913,0.715414544683128
10-6,0.9,1e-07,116,723,0.13600444399474612,0.7312605909772724
10-6,0.1,0.001,116,724,0.07759116236000524,0.4171875386967706
10-6,0.1,0.0001,116,724,0.07568329018013763,0.40692940523597737
10-6,0.1,1e-05,116,724,0.07144429661292216,0.3841374371938847
10-6,0.1,1e-06,116,724,0.06239193492331978,0.33546523822416296
10-6,0.1,1e-07,116,724,0.051908126188461495,0.2790965200707965
10-6,0.3,0.001,116,724,0.09276505889110993,0.49877364146553194
10-6,0.3,0.0001,116,724,0.08749576598842512,0.47044202134436525
10-6,0.3,1e-05,116,724,0.08416929600556577,0.4525564557401424
10-6,0.3,1e-06,116,724,0.0820253796537383,0.4410291740396726
10-6,0.3,1e-07,116,724,0.08762822389785842,0.47115421313962413
10-6,0.5,0.001,116,724,0.11900479158774188,0.6398578727981932
10-6,0.5,0.0001,116,724,0.11370271279853689,0.611349971475852
10-6,0.5,1e-05,116,724,0.10833870970863604,0.5825091192631381
10-6,0.5,1e-06,116,724,0.1030022005479592,0.5538160947709169
10-6,0.5,1e-07,116,724,0.10809853498084608,0.5812177620969834
10-6,0.7,0.001,116,724,0.13265081883081828,0.7132290190134558
10-6,0.7,0.0001,116,724,0.12932787786816652,0.695362428034817
10-6,0.7,1e-05,116,724,0.12564983116498007,0.6755865256685823
10-6,0.7,1e-06,116,724,0.12241337019157772,0.6581849151434401
10-6,0.7,1e-07,116,724,0.1197295870676844,0.6437549099495741
10-6,0.9,0.001,116,724,0.1395068922684454,0.7500923461704453
10-6,0.9,0.0001,116,724,0.13729888521825095,0.7382204654216843
10-6,0.9,1e-05,116,724,0.13493930595099596,0.7255336202072936
10-6,0.9,1e-06,116,724,0.1327930597393987,0.7139938114556328
10-6,0.9,1e-07,116,724,0.2605210215510132,1.4007539061646839
10-6,0.1,0.001,116,725,0.08424486080424731,0.4529627480473487
