stim,leak_rate,tikhonov_beta,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,0.01,0.001,116,721,0.07118315293350454,0.38273333541800236
10-6,0.01,0.0001,116,721,0.06219002070697077,0.33437959789626465
10-6,0.01,1e-05,116,721,0.04549266039054308,0.24460222581845925
10-6,0.01,1e-06,116,721,0.03666628965286951,0.1971451215339477
10-6,0.01,1e-07,116,721,0.031285700799271836,0.16821509197521095
10-6,0.03,0.001,116,721,0.03732457802670364,0.20068456723986897
10-6,0.03,0.0001,116,721,0.02976642942314508,0.16004636416213872
10-6,0.03,1e-05,116,721,0.02730272728334937,0.14679967729057902
10-6,0.03,1e-06,116,721,0.02514294106599125,0.1351870674426914
10-6,0.03,1e-07,116,721,0.02347229219299956,0.12620442212393543
10-6,0.05,0.001,116,721,0.0630532107080555,0.3390207464630223
10-6,0.05,0.0001,116,721,0.042626962537865735,0.2291941123498134
10-6,0.05,1e-05,116,721,0.030176318989432224,0.16225023395987956
10-6,0.05,1e-06,116,721,0.024413285364120237,0.13126389813962994
10-6,0.05,1e-07,116,721,0.02069708153146029,0.11128283479314183
10-6,0.07,0.001,116,721,0.08013474963725464,0.4308637472156299
10-6,0.07,0.0001,116,721,0.06880175687847004,0.3699291869989791
10-6,0.07,1e-05,116,721,0.052699473823964095,0.28335139088684463
10-6,0.07,1e-06,116,721,0.036295866542263786,0.19515345262360204
10-6,0.07,1e-07,116,721,0.027116419038812466,0.14579794622207615
10-6,0.09,0.001,116,721,0.08205835624231154,0.44120648059628353
10-6,0.09,0.0001,116,721,0.07873781545981198,0.4233527947632782
10-6,0.09,1e-05,116,721,0.07151689840401218,0.38452779817841654
10-6,0.09,1e-06,116,721,0.060838627438942756,0.3271135070922094
10-6,0.09,1e-07,116,721,0.04851045672146948,0.26082813332253707
10-6,0.01,0.001,116,722,0.07238857336320267,0.3892145681623617
10-6,0.01,0.0001,116,722,0.06648834349149368,0.357490563738989
10-6,0.01,1e-05,116,722,0.05056191883587651,0.2718583125879052
10-6,0.01,1e-06,116,722,0.03727509171535032,0.20041849218950578
10-6,0.01,1e-07,116,722,0.032023348768741536,0.17218123362649726
10-6,0.03,0.001,116,722,0.04025265011378776,0.21642805077565622
10-6,0.03,0.0001,116,722,0.03240460611998037,0.17423115543634715
10-6,0.03,1e-05,116,722,0.029256049737908164,0.15730218508028784
10-6,0.03,1e-06,116,722,0.02584842204322785,0.1389802555267307
10-6,0.03,1e-07,116,722,0.023655702713683814,0.12719057288348118
10-6,0.05,0.001,116,722,0.062540594992771,0.33626454482803997
10-6,0.05,0.0001,116,722,0.045426976387573544,0.24424905998491403
10-6,0.05,1e-05,116,722,0.03271040004151114,0.17587532997364747
10-6,0.05,1e-06,116,722,0.025336885070596272,0.13622985401097035
10-6,0.05,1e-07,116,722,0.02151253051630197,0.11566729230829609
10-6,0.07,0.001,116,722,0.07580380967525437,0.40757740727646036
10-6,0.07,0.0001,116,722,0.06568416238653464,0.3531666906890185
10-6,0.07,1e-05,116,722,0.05179679643975537,0.27849792891126546
10-6,0.07,1e-06,116,722,0.038597689407802276,0.20752975665851797
10-6,0.07,1e-07,116,722,0.030438579197455,0.16366033902024044
10-6,0.09,0.001,116,722,0.07610198575980824,0.40918062268179356
10-6,0.09,0.0001,116,722,0.07424759857352088,0.3992100641477095
10-6,0.09,1e-05,116,722,0.0682886193407456,0.36717017966019316
10-6,0.09,1e-06,116,722,0.058738462213932,0.31582146384360343
10-6,0.09,1e-07,116,722,0.0467267918045667,0.25123783007266576
10-6,0.01,0.001,116,723,0.07010117869461893,0.3769158407971631
10-6,0.01,0.0001,116,723,0.06201480631354288,0.3334375155854046
10-6,0.01,1e-05,116,723,0.04490576486814969,0.24144664094239532
10-6,0.01,1e-06,116,723,0.03613048118562892,0.19426421849213152
10-6,0.01,1e-07,116,723,0.031818345396238915,0.171078983707852
10-6,0.03,0.001,116,723,0.04014097028715614,0.21582757733799388
10-6,0.03,0.0001,116,723,0.03254312257209556,0.17497592244291452
10-6,0.03,1e-05,116,723,0.028415776866034206,0.1527842559684093
10-6,0.03,1e-06,116,723,0.025739708627746095,0.1383957317117926
10-6,0.03,1e-07,116,723,0.024124121879324913,0.12970914114368468
10-6,0.05,0.001,116,723,0.06323986352229138,0.3400243301933523
10-6,0.05,0.0001,116,723,0.04411787225957721,0.23721034690928566
10-6,0.05,1e-05,116,723,0.03243426682059822,0.17439063332416854
10-6,0.05,1e-06,116,723,0.024266706928826348,0.13047578394226095
10-6,0.05,1e-07,116,723,0.020958247358831533,0.11268705565282153
10-6,0.07,0.001,116,723,0.07830379315310125,0.4210191694847184
10-6,0.07,0.0001,116,723,0.06522867374425184,0.35071764649637416
10-6,0.07,1e-05,116,723,0.04946314291698339,0.26595047969508867
10-6,0.07,1e-06,116,723,0.03572215442144522,0.19206875147562472
10-6,0.07,1e-07,116,723,0.0291903052367781,0.15694869396383776
10-6,0.09,0.001,116,723,0.07831874353149527,0.4210995537884855
10-6,0.09,0.0001,116,723,0.07464559695731694,0.40134999814393946
10-6,0.09,1e-05,116,723,0.06659292940176462,0.35805289502983695
10-6,0.09,1e-06,116,723,0.05581309038203431,0.3000924988790144
10-6,0.09,1e-07,116,723,0.04410454836775548,0.23713870780161023
10-6,0.01,0.001,116,724,0.07287244337353366,0.39181621160369284
10-6,0.01,0.0001,116,724,0.06385525640342188,0.34333313796992815
10-6,0.01,1e-05,116,724,0.04746537774648123,0.2552090149583066
10-6,0.01,1e-06,116,724,0.035418846878729385,0.19043794555179172
10-6,0.01,1e-07,116,724,0.030443971499157455,0.16368933202674701
10-6,0.03,0.001,116,724,0.04127470773324613,0.22192338928714503
10-6,0.03,0.0001,116,724,0.03242564551686243,0.17434427881192138
10-6,0.03,1e-05,116,724,0.028853807975633874,0.15513943553948756
10-6,0.03,1e-06,116,724,0.025648587096931318,0.13790579489416227
10-6,0.03,1e-07,116,724,0.023786300637265504,0.12789276401763588
10-6,0.05,0.001,116,724,0.06478666502111813,0.34834108032984246
10-6,0.05,0.0001,116,724,0.046566302807939504,0.2503749223979468
10-6,0.05,1e-05,116,724,0.033678889738592135,0.18108264767181184
10-6,0.05,1e-06,116,724,0.02636851171921935,0.14177664270832468
10-6,0.05,1e-07,116,724,0.02179332311084206,0.11717704120027612
10-6,0.07,0.001,116,724,0.07928299173815676,0.42628406609368114
10-6,0.07,0.0001,116,724,0.06674196265676949,0.35885420815556346
10-6,0.07,1e-05,116,724,0.05060909989979482,0.27211199292121235
10-6,0.07,1e-06,116,724,0.037505698754042104,0.2016584063749848
10-6,0.07,1e-07,116,724,0.031247412747075175,0.1680092270574603
10-6,0.09,0.001,116,724,0.07898362392660498,0.4246744430816317
10-6,0.09,0.0001,116,724,0.07512923540803489,0.40395039654934006
10-6,0.09,1e-05,116,724,0.0673219848300631,0.3619728368177195
10-6,0.09,1e-06,116,724,0.055469832057971985,0.2982468879744076
10-6,0.09,1e-07,116,724,0.04380190735087684,0.23551148561418536
10-6,0.01,0.001,116,725,0.07063276717204456,0.37977405404917997
10-6,0.01,0.0001,116,725,0.060335687429088215,0.3244093292136795
10-6,0.01,1e-05,116,725,0.04301887558768094,0.23130132708487486
10-6,0.01,1e-06,116,725,0.03511735963917497,0.18881692692553873
10-6,0.01,1e-07,116,725,0.03061586050746184,0.16461353460500996
