[I 2024-11-07 18:52:49,648] Using an existing study with name 'reproduct_sample09' instead of creating a new one.
[I 2024-11-07 18:57:54,308] Trial 10 finished with value: 70.46948051621189 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.1879257069270427, 'nodeNum_02': 250, 'leaking_rate_02': 0.26948817490924576, 'nodeNum_03': 400, 'leaking_rate_03': 0.01052788308311611, 'nodeNum_04': 400, 'leaking_rate_04': 0.07074475480984055, 'tikhonov_beta': 7.795604624406504e-09, 'intensity': 1.2877114778905847}. Best is trial 8 with value: 0.2253558518694178.
[I 2024-11-07 19:04:00,370] Trial 30 finished with value: 0.25787683358723634 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.008812706981937172, 'nodeNum_02': 350, 'leaking_rate_02': 0.012578073624307148, 'nodeNum_03': 600, 'leaking_rate_03': 0.5448773980132178, 'nodeNum_04': 600, 'leaking_rate_04': 0.008835429751441942, 'tikhonov_beta': 3.3203227099015754e-06, 'intensity': 4.433216015391524}. Best is trial 25 with value: 0.22288089504396397.
[I 2024-11-07 19:09:58,746] Trial 49 finished with value: 0.2411666201451142 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.0012659225808054784, 'nodeNum_02': 300, 'leaking_rate_02': 0.0010209850368650866, 'nodeNum_03': 300, 'leaking_rate_03': 0.021743180674201026, 'nodeNum_04': 500, 'leaking_rate_04': 0.2878421964685441, 'tikhonov_beta': 4.13992114615844e-07, 'intensity': 4.9995260283087415}. Best is trial 44 with value: 0.2220072375203437.
[I 2024-11-07 19:15:47,089] Trial 71 finished with value: 0.22110344957715622 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.0022252715271333144, 'nodeNum_02': 600, 'leaking_rate_02': 0.050508804396082935, 'nodeNum_03': 350, 'leaking_rate_03': 0.04501836076579084, 'nodeNum_04': 400, 'leaking_rate_04': 0.14247413329661004, 'tikhonov_beta': 2.0154034052716565e-07, 'intensity': 4.562438086158098}. Best is trial 57 with value: 0.2179151496612292.
[I 2024-11-07 19:21:23,104] Trial 91 finished with value: 0.2378463176726461 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.0037122125370389115, 'nodeNum_02': 450, 'leaking_rate_02': 0.02524480869954931, 'nodeNum_03': 400, 'leaking_rate_03': 0.00938468036149917, 'nodeNum_04': 400, 'leaking_rate_04': 0.16280908141613695, 'tikhonov_beta': 8.462723426131984e-08, 'intensity': 3.8155564691866037}. Best is trial 90 with value: 0.21651843075257002.
[I 2024-11-07 19:26:45,990] Trial 113 finished with value: 0.24655375202213725 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.005152313832769919, 'nodeNum_02': 150, 'leaking_rate_02': 0.2308838332439987, 'nodeNum_03': 450, 'leaking_rate_03': 0.06386880706124105, 'nodeNum_04': 150, 'leaking_rate_04': 0.0993581745733607, 'tikhonov_beta': 3.682125011454336e-08, 'intensity': 4.317393536260654}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:32:07,121] Trial 133 finished with value: 0.22569731157239903 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.007061541862312366, 'nodeNum_02': 250, 'leaking_rate_02': 0.1851474368910708, 'nodeNum_03': 450, 'leaking_rate_03': 0.006872086311482154, 'nodeNum_04': 200, 'leaking_rate_04': 0.19071977695016112, 'tikhonov_beta': 2.5556047589439457e-08, 'intensity': 3.271723326042507}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:37:29,074] Trial 153 finished with value: 0.4224698729273067 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.14777111338188395, 'nodeNum_02': 200, 'leaking_rate_02': 0.10604790448893157, 'nodeNum_03': 500, 'leaking_rate_03': 0.012299306502628957, 'nodeNum_04': 200, 'leaking_rate_04': 0.21915392099766404, 'tikhonov_beta': 2.5697379658565642e-08, 'intensity': 2.9647546252192565}. Best is trial 151 with value: 0.21394422899201615.
[I 2024-11-07 19:42:46,508] Trial 172 finished with value: 0.21026677483052886 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.009504921615468884, 'nodeNum_02': 200, 'leaking_rate_02': 0.1567765393461348, 'nodeNum_03': 500, 'leaking_rate_03': 0.03346377328081236, 'nodeNum_04': 250, 'leaking_rate_04': 0.2866854796604216, 'tikhonov_beta': 5.8303519372869183e-08, 'intensity': 3.600165973688844}. Best is trial 172 with value: 0.21026677483052886.
[I 2024-11-07 19:48:08,872] Trial 191 finished with value: 0.22872150965507568 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.011965031549749773, 'nodeNum_02': 200, 'leaking_rate_02': 0.013232418106231967, 'nodeNum_03': 550, 'leaking_rate_03': 0.02658332946911197, 'nodeNum_04': 300, 'leaking_rate_04': 0.32081017968952236, 'tikhonov_beta': 5.192620609818378e-08, 'intensity': 3.935234726894626}. Best is trial 172 with value: 0.21026677483052886.
[I 2024-11-07 19:53:33,349] Trial 211 finished with value: 0.24491740377904192 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.00613902715530124, 'nodeNum_02': 250, 'leaking_rate_02': 0.04442592189371859, 'nodeNum_03': 550, 'leaking_rate_03': 0.05706555462009715, 'nodeNum_04': 300, 'leaking_rate_04': 0.0014017814613185397, 'tikhonov_beta': 2.9885152599073324e-08, 'intensity': 1.6382148134528247}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 19:59:06,773] Trial 229 finished with value: 0.22325435015134626 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.01562972026291602, 'nodeNum_02': 300, 'leaking_rate_02': 0.009158632356804591, 'nodeNum_03': 550, 'leaking_rate_03': 0.03942266350035475, 'nodeNum_04': 350, 'leaking_rate_04': 0.26029537686756044, 'tikhonov_beta': 7.159418822905972e-08, 'intensity': 3.6993065888275383}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:04:37,663] Trial 250 finished with value: 0.2123201994192208 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.013235278115670034, 'nodeNum_02': 250, 'leaking_rate_02': 0.1172966007829921, 'nodeNum_03': 600, 'leaking_rate_03': 0.022093129892702745, 'nodeNum_04': 350, 'leaking_rate_04': 0.13297007813336875, 'tikhonov_beta': 6.672577596392078e-08, 'intensity': 4.782091874122046}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:10:08,794] Trial 269 finished with value: 0.21721590253078057 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.024142833923616224, 'nodeNum_02': 250, 'leaking_rate_02': 0.06098223109290891, 'nodeNum_03': 600, 'leaking_rate_03': 0.032344709094658294, 'nodeNum_04': 300, 'leaking_rate_04': 0.1780709310290108, 'tikhonov_beta': 4.622942899276812e-08, 'intensity': 4.540769212439494}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:15:41,886] Trial 288 finished with value: 0.21575389677918885 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.03532991475922102, 'nodeNum_02': 250, 'leaking_rate_02': 0.14305731610462236, 'nodeNum_03': 600, 'leaking_rate_03': 0.029051533092557584, 'nodeNum_04': 400, 'leaking_rate_04': 0.11964915518039729, 'tikhonov_beta': 4.2879684565482533e-08, 'intensity': 4.572914215038665}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:21:19,295] Trial 308 finished with value: 0.21790056137880964 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.04606145104344088, 'nodeNum_02': 350, 'leaking_rate_02': 0.13516458107203344, 'nodeNum_03': 600, 'leaking_rate_03': 0.027940140407465175, 'nodeNum_04': 400, 'leaking_rate_04': 0.07538453019861159, 'tikhonov_beta': 4.021412117613273e-08, 'intensity': 4.404910071499322}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:26:54,877] Trial 328 finished with value: 0.2111498155039699 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.04382119768006727, 'nodeNum_02': 350, 'leaking_rate_02': 0.166260325219817, 'nodeNum_03': 600, 'leaking_rate_03': 0.01891603468245096, 'nodeNum_04': 450, 'leaking_rate_04': 0.38354967239451504, 'tikhonov_beta': 3.223523219776218e-08, 'intensity': 4.47958736896267}. Best is trial 194 with value: 0.2079221796202857.
