[I 2024-11-07 18:53:21,400] Using an existing study with name 'reproduct_sample09' instead of creating a new one.
[I 2024-11-07 18:58:42,354] Trial 13 finished with value: 0.36791066641550707 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.3172367826667545, 'nodeNum_02': 500, 'leaking_rate_02': 0.20093834276614686, 'nodeNum_03': 250, 'leaking_rate_03': 0.06698925114002927, 'nodeNum_04': 450, 'leaking_rate_04': 0.6133541120383331, 'tikhonov_beta': 4.529089898690692e-09, 'intensity': 4.7936091299711565}. Best is trial 8 with value: 0.2253558518694178.
[I 2024-11-07 19:04:51,921] Trial 33 finished with value: 0.2677372509557271 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.013067330672984462, 'nodeNum_02': 350, 'leaking_rate_02': 0.9678280642747382, 'nodeNum_03': 600, 'leaking_rate_03': 0.20762484912403925, 'nodeNum_04': 600, 'leaking_rate_04': 0.21293844087764413, 'tikhonov_beta': 8.597009533200201e-07, 'intensity': 0.6253080669685629}. Best is trial 25 with value: 0.22288089504396397.
[I 2024-11-07 19:10:14,607] Trial 54 finished with value: 0.23979056277992322 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.001052384059829514, 'nodeNum_02': 300, 'leaking_rate_02': 0.052503113690361036, 'nodeNum_03': 300, 'leaking_rate_03': 0.024232323869580734, 'nodeNum_04': 250, 'leaking_rate_04': 0.04208925785264701, 'tikhonov_beta': 3.5917507777683133e-07, 'intensity': 3.9978520454213555}. Best is trial 44 with value: 0.2220072375203437.
[I 2024-11-07 19:15:52,900] Trial 74 finished with value: 0.22390275624635822 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.002893466551419909, 'nodeNum_02': 400, 'leaking_rate_02': 0.15722621089203687, 'nodeNum_03': 350, 'leaking_rate_03': 0.0475502414564756, 'nodeNum_04': 400, 'leaking_rate_04': 0.45361090514424157, 'tikhonov_beta': 2.0310313606034107e-07, 'intensity': 4.6336648194880805}. Best is trial 57 with value: 0.2179151496612292.
[I 2024-11-07 19:21:19,889] Trial 92 finished with value: 0.2225422667450088 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.0019215132812477915, 'nodeNum_02': 200, 'leaking_rate_02': 0.12601333504573006, 'nodeNum_03': 400, 'leaking_rate_03': 0.010035989794244627, 'nodeNum_04': 350, 'leaking_rate_04': 0.1407397475354049, 'tikhonov_beta': 9.917482288867998e-08, 'intensity': 3.7847862524819917}. Best is trial 90 with value: 0.21651843075257002.
[I 2024-11-07 19:26:41,202] Trial 112 finished with value: 0.21867692818322718 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.005023802761988868, 'nodeNum_02': 150, 'leaking_rate_02': 0.21938380780041478, 'nodeNum_03': 400, 'leaking_rate_03': 0.007645673295165329, 'nodeNum_04': 150, 'leaking_rate_04': 0.1047178069069693, 'tikhonov_beta': 3.834769243581221e-08, 'intensity': 4.430828480802012}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:32:06,586] Trial 132 finished with value: 0.22815590520485782 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.0029031660095498774, 'nodeNum_02': 250, 'leaking_rate_02': 0.18914422747967183, 'nodeNum_03': 450, 'leaking_rate_03': 0.0062153470281662345, 'nodeNum_04': 200, 'leaking_rate_04': 0.1893129731783979, 'tikhonov_beta': 1.313336539329748e-07, 'intensity': 3.46662057396883}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:37:31,686] Trial 152 finished with value: 0.24397754706724453 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.007213818876674941, 'nodeNum_02': 200, 'leaking_rate_02': 0.32789228501328666, 'nodeNum_03': 500, 'leaking_rate_03': 0.035312555451740606, 'nodeNum_04': 200, 'leaking_rate_04': 0.019866458772959585, 'tikhonov_beta': 2.3968468358879055e-08, 'intensity': 4.466480697216724}. Best is trial 151 with value: 0.21394422899201615.
[I 2024-11-07 19:42:58,055] Trial 173 finished with value: 0.3645095416238568 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.010476900023330338, 'nodeNum_02': 200, 'leaking_rate_02': 0.03719287444683751, 'nodeNum_03': 500, 'leaking_rate_03': 0.004836738608941753, 'nodeNum_04': 150, 'leaking_rate_04': 0.22830438554352336, 'tikhonov_beta': 1.6575177470895385e-08, 'intensity': 3.8711025078723473}. Best is trial 172 with value: 0.21026677483052886.
[I 2024-11-07 19:48:39,671] Trial 193 finished with value: 0.23345455103689647 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.011534766281864294, 'nodeNum_02': 250, 'leaking_rate_02': 0.017048431705328566, 'nodeNum_03': 550, 'leaking_rate_03': 0.00829725701512404, 'nodeNum_04': 300, 'leaking_rate_04': 0.3132181344027912, 'tikhonov_beta': 4.944974168201361e-08, 'intensity': 3.8856733357590603}. Best is trial 172 with value: 0.21026677483052886.
[I 2024-11-07 19:54:06,023] Trial 213 finished with value: 0.21606947549611527 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.01467093538991058, 'nodeNum_02': 250, 'leaking_rate_02': 0.12248278285809101, 'nodeNum_03': 550, 'leaking_rate_03': 0.016334229426337554, 'nodeNum_04': 150, 'leaking_rate_04': 0.16289175781400456, 'tikhonov_beta': 7.985850699977962e-08, 'intensity': 4.192654279931768}. Best is trial 194 with value: 0.2079221796202857.
