[I 2024-11-07 18:53:10,075] Using an existing study with name 'reproduct_sample09' instead of creating a new one.
[I 2024-11-07 18:58:22,482] Trial 12 finished with value: 0.28470776201230386 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.26848658949687526, 'nodeNum_02': 150, 'leaking_rate_02': 0.01057178037125365, 'nodeNum_03': 550, 'leaking_rate_03': 0.0012827333556493536, 'nodeNum_04': 450, 'leaking_rate_04': 0.027550955478177996, 'tikhonov_beta': 9.958927731117048e-06, 'intensity': 3.634053031172347}. Best is trial 8 with value: 0.2253558518694178.
[I 2024-11-07 19:04:05,202] Trial 31 finished with value: 0.24122939253756742 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.006442771486861316, 'nodeNum_02': 350, 'leaking_rate_02': 0.0360221750853462, 'nodeNum_03': 600, 'leaking_rate_03': 0.3005116053781982, 'nodeNum_04': 600, 'leaking_rate_04': 0.006012225569461931, 'tikhonov_beta': 1.0367622439537071e-06, 'intensity': 4.280610515907117}. Best is trial 25 with value: 0.22288089504396397.
[I 2024-11-07 19:09:30,244] Trial 50 finished with value: 0.2559597236744399 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.001478207955841988, 'nodeNum_02': 300, 'leaking_rate_02': 0.9665269366906715, 'nodeNum_03': 300, 'leaking_rate_03': 0.13265779061674587, 'nodeNum_04': 500, 'leaking_rate_04': 0.325573021135745, 'tikhonov_beta': 3.0885113795214504e-07, 'intensity': 4.977588072004685}. Best is trial 44 with value: 0.2220072375203437.
[I 2024-11-07 19:15:03,531] Trial 69 finished with value: 0.2289315547922652 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.002496250896253874, 'nodeNum_02': 550, 'leaking_rate_02': 0.04317413908343625, 'nodeNum_03': 350, 'leaking_rate_03': 0.047545057053241274, 'nodeNum_04': 300, 'leaking_rate_04': 0.42489712086460557, 'tikhonov_beta': 2.2553239737571334e-07, 'intensity': 4.581552520863179}. Best is trial 57 with value: 0.2179151496612292.
[I 2024-11-07 19:20:26,392] Trial 89 finished with value: 0.22932933643107023 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.0040769446171382276, 'nodeNum_02': 200, 'leaking_rate_02': 0.02756275107715926, 'nodeNum_03': 400, 'leaking_rate_03': 0.009410744486359703, 'nodeNum_04': 400, 'leaking_rate_04': 0.16393361647200572, 'tikhonov_beta': 8.648168856972098e-08, 'intensity': 3.751465190122481}. Best is trial 87 with value: 0.21726939187334535.
[I 2024-11-07 19:25:45,087] Trial 109 finished with value: 0.7996923734900135 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.005327080266192916, 'nodeNum_02': 150, 'leaking_rate_02': 0.28874613081158035, 'nodeNum_03': 400, 'leaking_rate_03': 0.0865662627394549, 'nodeNum_04': 150, 'leaking_rate_04': 0.10687673737288962, 'tikhonov_beta': 5.180236614436189e-08, 'intensity': 4.338009174970134}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:31:01,922] Trial 128 finished with value: 0.22720359279616967 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.005497529185550454, 'nodeNum_02': 250, 'leaking_rate_02': 0.207866817043984, 'nodeNum_03': 450, 'leaking_rate_03': 0.10763993148986484, 'nodeNum_04': 200, 'leaking_rate_04': 0.1924809191486117, 'tikhonov_beta': 1.5849071535584313e-07, 'intensity': 3.4599099361305727}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:36:17,342] Trial 148 finished with value: 0.22457783631410147 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.007206089418800367, 'nodeNum_02': 250, 'leaking_rate_02': 0.10144314802582463, 'nodeNum_03': 350, 'leaking_rate_03': 0.006150552472920386, 'nodeNum_04': 200, 'leaking_rate_04': 0.19141878156495737, 'tikhonov_beta': 1.1965391638854617e-07, 'intensity': 4.834239457398879}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:41:41,105] Trial 167 finished with value: 0.22292185736166162 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.008551965708615314, 'nodeNum_02': 200, 'leaking_rate_02': 0.15501809173849387, 'nodeNum_03': 500, 'leaking_rate_03': 0.004980586119728334, 'nodeNum_04': 250, 'leaking_rate_04': 0.28115233875279877, 'tikhonov_beta': 6.401052037305346e-08, 'intensity': 3.5965459912866606}. Best is trial 151 with value: 0.21394422899201615.
[I 2024-11-07 19:47:14,126] Trial 187 finished with value: 0.22474764512811432 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.030578723111332005, 'nodeNum_02': 250, 'leaking_rate_02': 0.03754112973848257, 'nodeNum_03': 400, 'leaking_rate_03': 0.004184317736859228, 'nodeNum_04': 150, 'leaking_rate_04': 0.12064706335215389, 'tikhonov_beta': 1.0818899595702724e-07, 'intensity': 3.857889193392101}. Best is trial 172 with value: 0.21026677483052886.
[I 2024-11-07 19:52:58,652] Trial 207 finished with value: 0.22669484269939702 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.006544463623479882, 'nodeNum_02': 250, 'leaking_rate_02': 0.012597063667653712, 'nodeNum_03': 550, 'leaking_rate_03': 0.017679544840953576, 'nodeNum_04': 150, 'leaking_rate_04': 0.1505275174194909, 'tikhonov_beta': 5.26959352798664e-08, 'intensity': 4.185581717177254}. Best is trial 194 with value: 0.2079221796202857.
