[I 2024-11-07 18:53:31,531] Using an existing study with name 'reproduct_sample09' instead of creating a new one.
[I 2024-11-07 18:58:59,376] Trial 14 finished with value: 0.2690723553349182 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.04470319527028121, 'nodeNum_02': 500, 'leaking_rate_02': 0.004353870781281275, 'nodeNum_03': 200, 'leaking_rate_03': 0.0035284494949450783, 'nodeNum_04': 600, 'leaking_rate_04': 0.8255564099536621, 'tikhonov_beta': 5.7051478621594856e-08, 'intensity': 3.889334627562521}. Best is trial 8 with value: 0.2253558518694178.
[I 2024-11-07 19:04:26,352] Trial 34 finished with value: 0.2555087794846263 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.015918211910353783, 'nodeNum_02': 350, 'leaking_rate_02': 0.7909580058848864, 'nodeNum_03': 600, 'leaking_rate_03': 0.21646841724703847, 'nodeNum_04': 300, 'leaking_rate_04': 0.20393714777235442, 'tikhonov_beta': 8.311142001642759e-07, 'intensity': 0.47989875717390174}. Best is trial 25 with value: 0.22288089504396397.
[I 2024-11-07 19:09:58,307] Trial 52 finished with value: 0.22493730578517587 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.0018008964729679564, 'nodeNum_02': 300, 'leaking_rate_02': 0.06038810547102669, 'nodeNum_03': 300, 'leaking_rate_03': 0.019626686707212182, 'nodeNum_04': 500, 'leaking_rate_04': 0.2796702307459044, 'tikhonov_beta': 3.301564534394753e-07, 'intensity': 4.01410059632002}. Best is trial 44 with value: 0.2220072375203437.
[I 2024-11-07 19:15:37,950] Trial 70 finished with value: 0.2284166391453351 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.002620413192192929, 'nodeNum_02': 400, 'leaking_rate_02': 0.043981293067156806, 'nodeNum_03': 350, 'leaking_rate_03': 0.047149075699778914, 'nodeNum_04': 500, 'leaking_rate_04': 0.42412930832326573, 'tikhonov_beta': 2.441180827758188e-07, 'intensity': 4.643618852956317}. Best is trial 57 with value: 0.2179151496612292.
[I 2024-11-07 19:20:54,696] Trial 90 finished with value: 0.21651843075257002 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.0037512686898015647, 'nodeNum_02': 200, 'leaking_rate_02': 0.1281272368604196, 'nodeNum_03': 400, 'leaking_rate_03': 0.010882228429108643, 'nodeNum_04': 150, 'leaking_rate_04': 0.15672614595580073, 'tikhonov_beta': 7.984847649424708e-08, 'intensity': 3.7602570055124103}. Best is trial 90 with value: 0.21651843075257002.
[I 2024-11-07 19:26:18,683] Trial 110 finished with value: 0.23839028889649835 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.0032234016424219263, 'nodeNum_02': 150, 'leaking_rate_02': 0.2958409850539861, 'nodeNum_03': 400, 'leaking_rate_03': 0.07327265076234782, 'nodeNum_04': 150, 'leaking_rate_04': 0.10674437372664068, 'tikhonov_beta': 3.676342852543364e-08, 'intensity': 4.2941825973748395}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:31:35,199] Trial 130 finished with value: 0.22317335470371055 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.0071611856206202805, 'nodeNum_02': 250, 'leaking_rate_02': 0.19553213029712044, 'nodeNum_03': 450, 'leaking_rate_03': 0.10642264731772426, 'nodeNum_04': 200, 'leaking_rate_04': 0.19188101901375418, 'tikhonov_beta': 1.421752871684312e-07, 'intensity': 3.379466818588233}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:36:50,820] Trial 149 finished with value: 0.22587175549606603 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.0027312528532425196, 'nodeNum_02': 250, 'leaking_rate_02': 0.09945426082803689, 'nodeNum_03': 350, 'leaking_rate_03': 0.012444437477568722, 'nodeNum_04': 200, 'leaking_rate_04': 0.19189276653863954, 'tikhonov_beta': 2.3631803963262497e-08, 'intensity': 4.462683552453391}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:42:08,884] Trial 169 finished with value: 0.22171523290332523 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.02985649088969006, 'nodeNum_02': 200, 'leaking_rate_02': 0.16270265531135664, 'nodeNum_03': 500, 'leaking_rate_03': 0.03266642767634437, 'nodeNum_04': 250, 'leaking_rate_04': 0.22333319162875026, 'tikhonov_beta': 6.668651599509462e-08, 'intensity': 3.5951144903112655}. Best is trial 151 with value: 0.21394422899201615.
[I 2024-11-07 19:47:35,216] Trial 189 finished with value: 0.21730753580866055 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.006215732898169716, 'nodeNum_02': 250, 'leaking_rate_02': 0.035548380059250005, 'nodeNum_03': 550, 'leaking_rate_03': 0.025644505919274453, 'nodeNum_04': 150, 'leaking_rate_04': 0.31949187645913935, 'tikhonov_beta': 1.0136827978250032e-07, 'intensity': 4.170475716135718}. Best is trial 172 with value: 0.21026677483052886.
[I 2024-11-07 19:53:01,264] Trial 209 finished with value: 0.2123848848523219 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.006395138964886552, 'nodeNum_02': 250, 'leaking_rate_02': 0.08048802726608693, 'nodeNum_03': 550, 'leaking_rate_03': 0.018026003006779732, 'nodeNum_04': 300, 'leaking_rate_04': 0.15964303900954485, 'tikhonov_beta': 5.0262318453470244e-08, 'intensity': 4.17738231308607}. Best is trial 194 with value: 0.2079221796202857.
