[I 2024-11-07 18:51:59,039] Using an existing study with name 'reproduct_sample09' instead of creating a new one.
[I 2024-11-07 18:56:41,405] Trial 5 finished with value: 2.8675229675646765 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.6986922631514708, 'nodeNum_02': 600, 'leaking_rate_02': 0.06548007030907457, 'nodeNum_03': 400, 'leaking_rate_03': 0.007772739515071057, 'nodeNum_04': 400, 'leaking_rate_04': 0.030700644927301454, 'tikhonov_beta': 1.6511832516181524e-07, 'intensity': 1.9138734966748805}. Best is trial 1 with value: 0.2525442193697721.
[I 2024-11-07 19:02:00,856] Trial 25 finished with value: 0.22288089504396397 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.006680887861261944, 'nodeNum_02': 300, 'leaking_rate_02': 0.16873532679911782, 'nodeNum_03': 200, 'leaking_rate_03': 0.045940061991262326, 'nodeNum_04': 200, 'leaking_rate_04': 0.3648604786745329, 'tikhonov_beta': 2.3031253821775377e-07, 'intensity': 3.5189948398098165}. Best is trial 25 with value: 0.22288089504396397.
[I 2024-11-07 19:07:39,421] Trial 45 finished with value: 0.2320761997519691 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.009624145132778122, 'nodeNum_02': 300, 'leaking_rate_02': 0.9169913180484701, 'nodeNum_03': 300, 'leaking_rate_03': 0.02077828164478565, 'nodeNum_04': 550, 'leaking_rate_04': 0.26331698949704224, 'tikhonov_beta': 4.1055045312135873e-07, 'intensity': 2.4562601130231325}. Best is trial 44 with value: 0.2220072375203437.
[I 2024-11-07 19:13:15,468] Trial 65 finished with value: 0.23798746532040038 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.0010531984123412139, 'nodeNum_02': 400, 'leaking_rate_02': 0.05376048760254146, 'nodeNum_03': 300, 'leaking_rate_03': 0.02266016419331459, 'nodeNum_04': 500, 'leaking_rate_04': 0.4466160510584588, 'tikhonov_beta': 2.79449507306046e-07, 'intensity': 4.022624207304177}. Best is trial 57 with value: 0.2179151496612292.
[I 2024-11-07 19:18:32,544] Trial 85 finished with value: 0.22018887566986955 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.001931328271933055, 'nodeNum_02': 200, 'leaking_rate_02': 0.13306980656317313, 'nodeNum_03': 350, 'leaking_rate_03': 0.03929484148768472, 'nodeNum_04': 150, 'leaking_rate_04': 0.15222018040965904, 'tikhonov_beta': 8.148823272299539e-08, 'intensity': 4.679153074622867}. Best is trial 57 with value: 0.2179151496612292.
[I 2024-11-07 19:23:48,816] Trial 105 finished with value: 0.2330460670942142 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.004600935295728416, 'nodeNum_02': 200, 'leaking_rate_02': 0.2666008466917313, 'nodeNum_03': 400, 'leaking_rate_03': 0.08271870106762765, 'nodeNum_04': 150, 'leaking_rate_04': 0.11043700741081755, 'tikhonov_beta': 4.006354748456609e-08, 'intensity': 4.315116197413136}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:29:14,952] Trial 125 finished with value: 0.23176244478928312 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.005509040107083537, 'nodeNum_02': 150, 'leaking_rate_02': 0.21481179387420854, 'nodeNum_03': 450, 'leaking_rate_03': 0.06598522119015475, 'nodeNum_04': 200, 'leaking_rate_04': 0.060230045468978866, 'tikhonov_beta': 1.4939415565558074e-07, 'intensity': 3.3335014040640987}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:34:35,093] Trial 145 finished with value: 0.22271249854116046 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.002839546658410192, 'nodeNum_02': 250, 'leaking_rate_02': 0.10137442901306669, 'nodeNum_03': 400, 'leaking_rate_03': 0.012213527861333118, 'nodeNum_04': 200, 'leaking_rate_04': 0.19488871257694923, 'tikhonov_beta': 2.0888990973814155e-08, 'intensity': 4.438050832659435}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:39:55,700] Trial 165 finished with value: 0.22772722779202884 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.008600842867925704, 'nodeNum_02': 200, 'leaking_rate_02': 0.022252492356734536, 'nodeNum_03': 500, 'leaking_rate_03': 0.005117213375741402, 'nodeNum_04': 250, 'leaking_rate_04': 0.22467675298290096, 'tikhonov_beta': 6.372053788130145e-08, 'intensity': 3.586915602015872}. Best is trial 151 with value: 0.21394422899201615.
[I 2024-11-07 19:45:17,570] Trial 184 finished with value: 0.22810717682744147 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.0016293048662594485, 'nodeNum_02': 250, 'leaking_rate_02': 0.45530025315238626, 'nodeNum_03': 400, 'leaking_rate_03': 0.008275455245627067, 'nodeNum_04': 150, 'leaking_rate_04': 0.28787342146310013, 'tikhonov_beta': 1.9751128305694086e-07, 'intensity': 3.907685995844363}. Best is trial 172 with value: 0.21026677483052886.
[I 2024-11-07 19:50:38,895] Trial 204 finished with value: 0.21799495239672886 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.006423400774414428, 'nodeNum_02': 250, 'leaking_rate_02': 0.0152894348242722, 'nodeNum_03': 550, 'leaking_rate_03': 0.055748251703159876, 'nodeNum_04': 150, 'leaking_rate_04': 0.1570588994171569, 'tikhonov_beta': 5.134793629256943e-08, 'intensity': 4.162765985064392}. Best is trial 194 with value: 0.2079221796202857.
