stim,feedback_scale,leak_rate,tikhonov_beta,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,0.5,0.3,1e-07,116,722,0.7920790325618786,1.6395478024967496
10-6,0.5,0.3,0.0001,116,722,0.8348309440959275,1.728041247881203
10-6,0.5,0.3,1e-06,116,722,0.780863225407852,1.616331871741538
10-6,0.5,0.3,1e-05,116,722,0.8194059607369443,1.6961126188806692
10-6,0.5,0.5,0.001,116,722,0.7627704523107635,1.5788811059051295
10-6,0.5,0.5,1e-06,116,722,0.7577484392781483,1.5684858926836622
10-6,0.5,0.5,0.0001,116,722,0.7743350613667699,1.6028190320274551
10-6,0.5,0.5,1e-07,116,722,0.7604502101875669,1.5740783681504849
10-6,0.5,0.5,1e-05,116,722,0.7755111039082955,1.6052533572467005
10-6,0.5,0.7,0.001,116,722,0.7477505377126502,1.5477909407061137
10-6,0.5,0.7,0.0001,116,722,0.7545791549807729,1.5619256974359192
10-6,0.5,0.7,1e-05,116,722,0.7549618087429126,1.5627177637690024
10-6,0.5,0.7,1e-07,116,722,0.7597200317617419,1.5725669502435875
10-6,0.5,0.7,1e-06,116,722,0.743633100140274,1.5392681349680641
10-6,0.5,0.9,0.001,116,722,0.7406238762089987,1.5330392534033228
10-6,0.5,0.9,1e-05,116,722,0.7440373014823363,1.540104803273752
10-6,0.5,0.9,0.0001,116,722,0.7447769155203073,1.5416357522331372
10-6,0.5,0.9,1e-07,116,722,0.7606412944016893,1.5744738990135387
10-6,0.5,0.9,1e-06,116,722,0.7345705690910993,1.5205093340707914
10-6,0.5,0.1,0.001,116,723,0.7927211946269638,1.6408770327368833
10-6,0.5,0.1,1e-05,116,723,0.8696226454703593,1.8000576189610882
10-6,0.5,0.1,0.0001,116,723,0.8280761574119079,1.7140593152597843
10-6,0.5,0.1,1e-07,116,723,1.0280133983249042,2.1279153201535355
10-6,0.5,0.1,1e-06,116,723,0.9374120975430774,1.9403770095890696
10-6,0.5,0.3,0.001,116,723,0.7917029961283898,1.638769433567842
10-6,0.5,0.3,0.0001,116,723,0.7970960758511884,1.6499327286996488
10-6,0.5,0.3,1e-05,116,723,0.7790662027948821,1.6126121615169127
10-6,0.5,0.3,1e-07,116,723,0.7951707797394558,1.6459475013683091
10-6,0.5,0.3,1e-06,116,723,0.7728704133739057,1.5997873138536198
10-6,0.5,0.5,0.001,116,723,0.7588170734970664,1.570697890241069
10-6,0.5,0.5,0.0001,116,723,0.7628955502774174,1.5791400498840666
10-6,0.5,0.5,1e-05,116,723,0.7526127499487127,1.5578553775352584
10-6,0.5,0.5,1e-07,116,723,0.7828891052259898,1.620525300259911
10-6,0.5,0.5,1e-06,116,723,0.7449306234467513,1.541953916813523
10-6,0.5,0.7,0.001,116,723,0.7456408842935219,1.5434241067347936
10-6,0.5,0.7,0.0001,116,723,0.7494598186099796,1.5513290317599848
10-6,0.5,0.7,1e-05,116,723,0.7421436703758498,1.5361851202727548
10-6,0.5,0.7,1e-07,116,723,0.7828181403841835,1.6203784080362125
10-6,0.5,0.7,1e-06,116,723,0.7387773541434648,1.529217082798685
10-6,0.5,0.9,0.001,116,723,0.7392979120992575,1.5302946010985088
10-6,0.5,0.9,1e-05,116,723,0.7363893423956853,1.5242740666949197
10-6,0.5,0.9,0.0001,116,723,0.7417847705156878,1.5354422228435147
10-6,0.5,0.9,1e-07,116,723,0.8077589305305733,1.6720040867829244
10-6,0.5,0.9,1e-06,116,723,0.7377603917723615,1.527112042326434
10-6,0.5,0.1,0.001,116,724,0.8753716508218512,1.8119576550725027
10-6,0.5,0.1,0.0001,116,724,0.8952664618906624,1.8531385125728674
10-6,0.5,0.1,1e-05,116,724,0.9398439402771157,1.9454107527468885
10-6,0.5,0.1,1e-06,116,724,1.0825364173347263,2.2407741288432588
10-6,0.5,0.1,1e-07,116,724,1.1212901907340422,2.3209917099220028
10-6,0.5,0.3,0.001,116,724,0.8066095466203259,1.6696249430525618
10-6,0.5,0.3,0.0001,116,724,0.8366547883030941,1.7318164769164734
10-6,0.5,0.3,1e-05,116,724,0.823750686632213,1.70510589543667
10-6,0.5,0.3,1e-06,116,724,0.790701778525859,1.6366969836574574
10-6,0.5,0.3,1e-07,116,724,0.7930863323284226,1.6416328420582074
10-6,0.5,0.5,0.001,116,724,0.76458465524871,1.5826363781922557
10-6,0.5,0.5,1e-05,116,724,0.7706903429079223,1.5952747215555627
10-6,0.5,0.5,0.0001,116,724,0.7774462596959251,1.6092589934126207
10-6,0.5,0.5,1e-07,116,724,0.7983292291517288,1.652485269167111
10-6,0.5,0.5,1e-06,116,724,0.7544464764376247,1.5616510621976232
10-6,0.5,0.7,0.001,116,724,0.748918947945906,1.5502094675848688
10-6,0.5,0.7,0.0001,116,724,0.7578016475296153,1.568596030016152
10-6,0.5,0.7,1e-05,116,724,0.7541963023170254,1.561133219390519
10-6,0.5,0.7,1e-07,116,724,0.8183371587011055,1.6939002739540578
10-6,0.5,0.7,1e-06,116,724,0.7401567733177697,1.5320723833217131
10-6,0.5,0.9,0.001,116,724,0.7418368888808727,1.5355501041881734
10-6,0.5,0.9,0.0001,116,724,0.7481790699832056,1.5486779723198854
10-6,0.5,0.9,1e-05,116,724,0.7451501438952908,1.5424083086787412
10-6,0.5,0.9,1e-06,116,724,0.7339760560865097,1.5192787340294318
10-6,0.5,0.9,1e-07,116,724,0.7581146205305682,1.5692438620819669
10-6,0.5,0.1,0.001,116,725,0.7947096823488096,1.6449930622498719
10-6,0.5,0.1,0.0001,116,725,0.8177219963246037,1.6926269311674045
10-6,0.5,0.1,1e-05,116,725,0.9060900625561159,1.8755426035241833
10-6,0.5,0.1,1e-07,116,725,0.9386806703642381,1.9430028659692264
10-6,0.5,0.1,1e-06,116,725,0.9639851778225621,1.9953814139310002
10-6,0.5,0.3,0.001,116,725,0.8050387845681082,1.6663735762506542
10-6,0.5,0.3,0.0001,116,725,0.8198724304037592,1.697078178232347
10-6,0.5,0.3,1e-05,116,725,0.820074826740329,1.697497124392029
10-6,0.5,0.3,1e-07,116,725,0.7812478297827157,1.6171279757055563
10-6,0.5,0.3,1e-06,116,725,0.7781615113746779,1.610739514004535
10-6,0.5,0.5,0.001,116,725,0.7644360200724188,1.582328713847356
10-6,0.5,0.5,1e-05,116,725,0.7721800566573002,1.5983583240797223
10-6,0.5,0.5,1e-06,116,725,0.7470139485900742,1.5462662531085183
10-6,0.5,0.5,1e-07,116,725,0.8291803718042031,1.7163449612697759
10-6,0.5,0.5,0.0001,116,725,0.7733470964849654,1.6007740143154376
10-6,0.5,0.7,0.001,116,725,0.7486417031979028,1.549635590485923
10-6,0.5,0.7,0.0001,116,725,0.7548271200354475,1.5624389676321682
10-6,0.5,0.7,1e-05,116,725,0.7528308440766096,1.558306817017218
10-6,0.5,0.7,1e-06,116,725,0.7363348700173139,1.5241613127087843
10-6,0.5,0.7,1e-07,116,725,0.8372186985608309,1.732983731427538
10-6,0.5,0.9,0.001,116,725,0.7413116451466057,1.5344628866569792
10-6,0.5,0.9,0.0001,116,725,0.7457950791092464,1.5437432791416932
10-6,0.5,0.9,1e-07,116,725,0.7577755696800691,1.5685420507045433
10-6,0.5,0.9,1e-05,116,725,0.7453838206381991,1.5428920030761182
10-6,0.5,0.9,1e-06,116,725,0.7333042365365663,1.517888114884747
10-6,0.5,0.1,0.001,126,721,0.7438259404739368,1.5110388509428345
10-6,0.5,0.1,0.0001,126,721,0.7510019716005418,1.5256165380573312
10-6,0.5,0.1,1e-06,126,721,0.7796208121057421,1.5837540370597731
10-6,0.5,0.1,1e-07,126,721,0.795958240526054,1.6169425664243982
10-6,0.5,0.1,1e-05,126,721,0.7514478658779635,1.5265223461771287
10-6,0.5,0.3,0.001,126,721,0.7096526035340724,1.4416177176201734
10-6,0.5,0.3,0.0001,126,721,0.7100838755314991,1.4424938214342191
10-6,0.5,0.3,1e-05,126,721,0.7116498891584128,1.4456750864353627
10-6,0.5,0.3,1e-07,126,721,0.7290973523778491,1.48111858650766
10-6,0.5,0.3,1e-06,126,721,0.7135828748859255,1.4496018337745706
10-6,0.5,0.5,0.001,126,721,0.696889937297141,1.4156911083474015
10-6,0.5,0.5,0.0001,126,721,0.697911261063693,1.4177658677859712
10-6,0.5,0.5,1e-07,126,721,0.7328627112733895,1.4887676926618223
10-6,0.5,0.5,1e-06,126,721,0.7065313448929694,1.4352770634241896
10-6,0.5,0.5,1e-05,126,721,0.6968825226549963,1.4156760459359732
10-6,0.5,0.7,0.001,126,721,0.6914130777241045,1.4045651887663457
10-6,0.5,0.7,0.0001,126,721,0.6922727587948923,1.4063115805318072
10-6,0.5,0.7,1e-05,126,721,0.6939680131933822,1.4097553905940348
10-6,0.5,0.7,1e-07,126,721,0.7334985237643162,1.490059308513634
10-6,0.5,0.7,1e-06,126,721,0.7107542115242014,1.443855569758717
10-6,0.5,0.9,0.001,126,721,0.6895760129185683,1.4008332991644634
10-6,0.5,0.9,0.0001,126,721,0.6896404466700135,1.400964192558264
10-6,0.5,0.9,1e-06,126,721,0.7071323338787503,1.4364979373640323
10-6,0.5,0.9,1e-07,126,721,0.7277816385622305,1.4784457909194135
10-6,0.5,0.9,1e-05,126,721,0.6910908341360291,1.403910569782852
10-6,0.5,0.1,0.001,126,722,0.750848821411547,1.525305422414533
10-6,0.5,0.1,0.0001,126,722,0.7509008163603927,1.52541104710908
10-6,0.5,0.1,1e-07,126,722,0.8582183962729336,1.7434204278167345
10-6,0.5,0.1,1e-05,126,722,0.7556202204397557,1.5349982401998075
10-6,0.5,0.1,1e-06,126,722,0.8086770401962458,1.642780063334997
10-6,0.5,0.3,0.001,126,722,0.7128197918935443,1.4480516753500778
10-6,0.5,0.3,0.0001,126,722,0.7222582097232798,1.4672252686010405
10-6,0.5,0.3,1e-07,126,722,0.7312128747117748,1.485416146276229
10-6,0.5,0.3,1e-05,126,722,0.7235229760290516,1.469794567305744
10-6,0.5,0.3,1e-06,126,722,0.7260005718516563,1.4748276581690503
10-6,0.5,0.5,0.001,126,722,0.6981931018062987,1.418338410754269
10-6,0.5,0.5,0.0001,126,722,0.7014048837247332,1.424862957688486
10-6,0.5,0.5,1e-07,126,722,0.7156070157103753,1.4537137573565504
10-6,0.5,0.5,1e-06,126,722,0.7066078097510582,1.4354323973067782
10-6,0.5,0.5,1e-05,126,722,0.7022683025511979,1.426616942485779
10-6,0.5,0.7,0.001,126,722,0.6921101740179918,1.4059812990760248
10-6,0.5,0.7,0.0001,126,722,0.6941912991448137,1.4102089829321398
10-6,0.5,0.7,1e-06,126,722,0.7027528872053855,1.427601347840857
10-6,0.5,0.7,1e-05,126,722,0.6947757352484485,1.4113962306609877
10-6,0.5,0.7,1e-07,126,722,0.7289232507259138,1.480764909194497
10-6,0.5,0.9,0.001,126,722,0.6896553008534178,1.400994367962215
10-6,0.5,0.9,0.0001,126,722,0.6900328621155369,1.401761361561967
10-6,0.5,0.9,1e-06,126,722,0.6977022376320433,1.417341248921807
10-6,0.5,0.9,1e-05,126,722,0.6901373636840047,1.4019736503802873
10-6,0.5,0.9,1e-07,126,722,0.7227964459655369,1.4683186640162607
10-6,0.5,0.1,0.001,126,723,0.7460143268620683,1.5154844297717123
10-6,0.5,0.1,0.0001,126,723,0.7573295900206903,1.5384707244288012
10-6,0.5,0.1,1e-06,126,723,0.7870332024273067,1.598811874041232
10-6,0.5,0.1,1e-05,126,723,0.7591307862871238,1.542129749193412
10-6,0.5,0.1,1e-07,126,723,0.7955442273937022,1.6161015229843354
10-6,0.5,0.3,0.001,126,723,0.7089444116546776,1.4401790672781243
10-6,0.5,0.3,0.0001,126,723,0.7106703000334835,1.4436851084779039
10-6,0.5,0.3,1e-05,126,723,0.7077788349885238,1.4378112665192684
10-6,0.5,0.3,1e-06,126,723,0.7092739393059023,1.4408484834094617
10-6,0.5,0.3,1e-07,126,723,0.7224318323935522,1.467577972890997
10-6,0.5,0.5,0.001,126,723,0.696426490802161,1.4147496439252252
10-6,0.5,0.5,0.0001,126,723,0.6970149205586301,1.4159450045259985
10-6,0.5,0.5,1e-06,126,723,0.6994549204144067,1.420901721383741
10-6,0.5,0.5,1e-05,126,723,0.6939718236741073,1.409763131362544
10-6,0.5,0.5,1e-07,126,723,0.7204818170386773,1.4636166308607987
10-6,0.5,0.7,0.001,126,723,0.691166024814815,1.4040633152447834
10-6,0.5,0.7,0.0001,126,723,0.6917441517202,1.4052377462067576
10-6,0.5,0.7,1e-05,126,723,0.6910973202801454,1.4039237460048943
10-6,0.5,0.7,1e-06,126,723,0.6991574308363614,1.4202973887224053
10-6,0.5,0.7,1e-07,126,723,0.7241127231798397,1.4709926041159498
10-6,0.5,0.9,0.001,126,723,0.6895097309715106,1.400698651269478
10-6,0.5,0.9,1e-07,126,723,0.7401520806410907,1.5035756197777428
10-6,0.5,0.9,1e-05,126,723,0.6894035059981856,1.4004828614550864
10-6,0.5,0.9,0.0001,126,723,0.689125826763448,1.3999187723463884
10-6,0.5,0.9,1e-06,126,723,0.7011011803208065,1.4242460020036594
10-6,0.5,0.1,0.001,126,724,0.7557322015603718,1.5352257232904285
10-6,0.5,0.1,1e-06,126,724,0.8181656304586741,1.6620555789456406
10-6,0.5,0.1,0.0001,126,724,0.7730777243485116,1.5704621373446273
10-6,0.5,0.1,1e-07,126,724,0.8507731990698041,1.7282959455760485
10-6,0.5,0.1,1e-05,126,724,0.7792276795473249,1.5829554112832098
10-6,0.5,0.3,0.001,126,724,0.7136664608646587,1.4497716337968438
10-6,0.5,0.3,1e-06,126,724,0.7221524292383584,1.4670103817388185
10-6,0.5,0.3,1e-07,126,724,0.7170386276630935,1.4566219932250828
10-6,0.5,0.3,1e-05,126,724,0.7249882345249529,1.4727711541569235
10-6,0.5,0.3,0.0001,126,724,0.721732403817287,1.46615712468621
10-6,0.5,0.5,0.001,126,724,0.6988267152734641,1.4196255594180511
10-6,0.5,0.5,0.0001,126,724,0.7023164766813697,1.426714805410879
10-6,0.5,0.5,1e-05,126,724,0.7018136294630546,1.4256933007259545
10-6,0.5,0.5,1e-06,126,724,0.700340622409046,1.4227009731326177
10-6,0.5,0.5,1e-07,126,724,0.7168557982523918,1.456250585980951
10-6,0.5,0.7,0.001,126,724,0.6926331069938564,1.4070436068014949
10-6,0.5,0.7,0.0001,126,724,0.6952206356381626,1.4123000197560942
10-6,0.5,0.7,1e-05,126,724,0.6946015612474602,1.4110424063749594
10-6,0.5,0.7,1e-07,126,724,0.724767526881678,1.4723227995008923
10-6,0.5,0.7,1e-06,126,724,0.6977541060136423,1.417446616502402
10-6,0.5,0.9,0.001,126,724,0.6901345108196544,1.40196785495338
10-6,0.5,0.9,1e-05,126,724,0.6903820188452445,1.4024706530170623
10-6,0.5,0.9,0.0001,126,724,0.6913319783971338,1.4044004402315473
